999996
/m/03y389
/m/03y389
Michael Crichton
1996
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
545 1
a 13
aboard 1
about 1
accounts 1
afterwards 1
air 1
aircraft 4
aircraftmanufactured 1
airline 1
airlines 2
airport 1
all 1
allowed 1
already 1
also 2
an 7
and 17
angeles 1
another 1
any 1
are 1
arrested 1
arrogant 1
as 2
assigned 1
assigning 1
assist 1
assurance 1
at 6
attempted 1
bankrupt 1
be 2
been 1
before 1
billion 1
blame 1
board 1
bob 2
but 5
by 4
california 1
captain 1
casey 4
cause 1
caused 3
causing 1
ceo 1
certified 1
china 3
circumstances 1
cleared 1
coast 1
company 7
concurring 1
conflicting 2
control 4
controls 1
correct 1
cost 1
crew 2
crucial 1
dead 1
deal 6
deeper 1
denver 1
design 2
destroy 1
disaster 1
discovers 1
disgruntled 1
division 1
does 2
dollars 1
edgarton 2
emergency 1
encountered 1
error 2
especially 1
even 1
event 1
eventually 1
excellent 1
executive 2
explanation 1
fact 1
factory 1
failsafe 1
fallout 1
fatalities 1
fault 1
fear 1
finding 1
fired 1
fixed 1
flaw 1
flight 4
fly 1
flying 1
for 5
from 3
further 1
future 1
give 1
gives 1
goes 1
good 1
had 3
halfhour 1
harold 1
has 1
have 2
head 1
her 1
highly 1
his 2
hitch 1
hong 2
however 1
human 2
hurt 1
in 7
incident 6
inexplicable 1
inform 1
information 1
initially 1
injuries 1
intended 1
intent 1
international 1
investigates 1
is 5
it 3
jeopardizes 1
job 1
jobs 1
john 1
junior 1
kong 1
kongbased 1
korean 1
landing 1
larger 1
later 1
leaves 1
likely 1
los 1
maintenance 1
making 1
malfunction 1
manages 1
maneuver 1
marder 2
mechanical 1
media 2
members 1
most 1
murky 1
must 1
n22 5
narcotics 1
navigate 1
negotiate 1
norton 7
not 4
novel 1
occurred 1
occurs 1
of 12
off 1
on 3
once 1
one 2
only 1
opens 1
oust 1
out 1
panicked 1
passengers 2
pilot 4
plan 2
plane 7
plotted 1
point 1
politics 1
poor 1
position 1
possession 1
possibility 1
practices 1
problem 2
promotes 1
protect 1
publicly 1
purchase 1
put 1
quality 1
question 1
ratingshungry 1
record 1
regarding 1
relations 1
reputation 3
requests 1
revealing 1
richman 3
safety 1
secretly 2
secured 1
seems 1
seize 1
several 1
severe 1
severity 1
she 4
signals 1
since 1
singapore 1
singleton 1
son 2
soothe 1
south 1
stating 1
such 1
supposedly 1
suspicious 1
system 1
take 1
technical 2
tempers 1
terms 1
that 6
the 47
their 1
them 2
then 2
they 2
this 1
thought 1
three 1
thwart 1
to 16
torpedo 1
traffic 1
trained 1
transpacific 2
true 1
try 2
turbulence 1
turns 1
type 1
unaware 1
union 1
unlikely 1
vicepresident 1
wait 1
was 3
were 1
west 1
while 2
who 1
widebody 1
wildly 1
will 2
with 8
without 1
work 1
workers 1
worth 1
would 2
years 1
