31204665
/m/0gjdq68
/m/0gjdq68
Jeannette Walls

{"/m/016chh": "Memoir"}
a 9
age 1
alone 1
along 1
also 1
an 1
and 9
arizona 1
as 3
at 2
attitude 1
author 1
book 2
bootleg 1
break 1
broke 2
but 1
by 2
casey 2
cattle 1
celebrates 1
child 1
children 1
closes 1
courage 1
depicts 1
door 1
down 1
earns 1
extra 1
family 1
fifteen 1
fight 1
find 1
finds 1
five 1
freedom 1
from 1
frontier 1
get 1
god 1
granddaughter 1
growing 1
half 2
handed 1
he 1
her 4
history 1
horse 1
horses 3
how 1
hundred 1
husband 1
in 8
injustice 1
is 3
it 2
its 3
jeannette 2
job 1
joys 1
lands 1
later 1
learns 1
liberties 1
life 4
lily 6
lilys 1
liquor 1
many 1
miles 1
money 1
my 1
occasionally 1
of 9
on 1
oneroom 1
opens 1
oral 1
overcomes 1
playing 1
point 1
points 1
poker 1
portrayed 1
positive 1
poverty 1
prejudice 1
protagonist 1
races 1
ranch 1
resourceful 1
retelling 1
rides 1
riding 1
runs 1
rural 1
says 1
schoolhouse 1
second 1
selling 1
she 3
smith 1
smiths 1
spirit 1
spirited 1
stories 1
story 1
storytellers 1
strong 1
struggles 1
talents 1
teacher 1
texas 1
that 1
the 12
their 1
through 1
to 6
traditional 1
tragedy 1
tries 1
trouble 1
two 1
undertaken 1
up 2
various 1
vast 1
vein 1
view 1
walls 2
when 1
wherever 1
which 1
who 1
window 1
with 3
woman 2
wrote 1
years 1
you 1
