5704889
/m/0f02_p
/m/0f02_p
Barbara Mertz
2000
114 1
a 1
acquired 1
and 2
are 1
as 1
british 1
but 1
by 2
concession 1
course 1
criminal 2
distracted 1
element 1
emerson 3
events 1
eventually 1
family 1
firman 1
for 3
from 2
gather 1
giza 1
have 1
himself 1
in 2
intelligence 1
master 1
medicine 1
military 1
nefret 1
novel 1
of 2
on 1
part 1
past 1
peabody 1
percy 1
place 1
ramses 1
returns 2
revelation 1
revenge 1
sethos 1
startling 1
studying 1
switzerland 1
takes 1
the 8
to 2
undercover 1
works 1
wreak 1
