5140181
/m/0d4mbv
/m/0d4mbv
Ian Irvine
2003-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 7
all 1
an 1
and 4
apart 1
arrested 1
as 1
assault 1
at 1
away 1
back 1
battle 1
bears 1
before 1
being 1
between 1
bragg 1
britain 1
but 2
cabal 1
can 1
caught 1
centre 1
century 1
city 1
clothes 1
code 1
collapsing 1
congress 2
containing 1
crack 1
crime 1
cruel 1
data 1
deadly 1
decipher 1
destroy 1
disappears 1
docklands 1
door 1
down 1
drowning 1
falls 1
fights 1
files 1
find 1
flees 1
flooded 1
flung 1
for 2
gene 1
global 1
group 1
hardey 1
he 1
her 3
herself 1
humanity 1
hunted 1
hurricane 1
in 2
inexperienced 1
into 1
irith 4
is 5
it 2
jemma 1
knocks 1
laboratory 1
london 1
made 1
mother 1
mysterious 1
new 1
no 1
nothing 1
of 4
on 3
one 1
only 1
onto 1
orleans 1
out 1
predatory 1
prey 1
rebels 2
researcher 1
rising 1
sanctions 1
seas 1
secret 1
security 2
sexually 1
she 2
sinking 1
slowly 2
soon 1
spirits 1
steal 1
streets 1
struggles 1
survive 1
terminator 1
the 20
there 1
they 1
through 1
thrown 1
to 7
torn 1
tunnels 1
under 3
underground 1
unspecified 1
up 1
violent 1
virus 3
where 1
wipes 1
with 1
world 2
young 1
