13440403
/m/03c5djl
/m/03c5djl
Philip Pullman
1999-04-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 21
ability 1
about 3
adopted 1
adventures 1
after 1
again 1
almost 1
an 1
and 28
announces 2
anything 1
appears 1
are 2
as 3
asked 1
at 3
attend 1
attendant 1
aurelia 3
away 1
ball 1
be 4
bed 1
been 2
before 1
belief 1
belonging 1
blankets 1
bob 10
boy 7
but 2
by 7
calls 1
campaign 1
can 1
captured 1
care 1
carefully 1
cat 1
children 2
cinderella 1
city 3
cobbler 1
confronted 1
contact 1
council 1
daily 1
declare 1
declared 1
declares 1
desperation 1
determined 1
discovered 1
door 2
due 1
during 1
eat 2
eaten 1
escapes 1
evening 2
exploit 2
exterminated 1
fate 1
fiance 1
find 1
first 1
followed 1
food 1
for 2
from 1
girl 1
granted 1
had 2
hall 1
has 3
have 2
he 5
hearing 1
help 2
her 5
here 1
his 6
home 3
hospital 1
how 1
however 1
i 1
in 6
instructions 1
intervention 1
into 2
is 6
jane 4
joan 12
kept 1
kitchen 1
knock 1
learn 1
learner 1
learns 1
little 1
lives 1
local 1
locate 1
lost 1
married 1
marry 2
mary 4
may 1
menace 1
mentioned 1
monster 2
must 1
name 2
newspaper 1
no 3
nonhuman 1
notices 2
now 1
of 5
official 1
old 1
one 2
only 1
openings 1
opens 1
orphanage 1
page 2
palace 3
paper 1
patient 1
pencil 1
people 1
pet 1
philosopher 1
photograph 1
picture 1
please 1
police 1
prince 4
princess 4
proper 1
providing 1
publicity 1
quick 1
rat 4
recognise 1
remembers 1
replies 1
return 1
roger 17
royal 1
runs 1
saved 1
scourge 1
sees 1
sewers 2
she 2
sheets 1
small 1
so 1
son 1
spoon 1
spots 1
stained 1
states 1
station 1
story 1
strips 1
take 3
takes 1
tests 1
that 10
the 35
their 2
them 1
then 1
there 2
they 1
through 1
to 17
told 1
tore 1
torn 1
tribunal 2
turned 1
unable 1
undergoes 1
uniform 1
used 1
wanting 1
was 6
washerwoman 1
were 1
when 4
who 5
whose 1
wife 1
will 3
wish 1
with 1
worked 1
would 1
wriggle 1
writing 1
you 1
