15203231
/m/047gpqx
/m/047gpqx
Jim Butcher
2006-05-02
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
40 1
a 30
abide 1
about 11
accidentally 2
act 1
adjourns 1
admits 1
advantage 1
after 3
against 2
agent 1
aggressive 1
agree 2
agrees 1
aid 1
alive 1
all 1
alleged 1
also 1
ambushed 1
an 3
and 61
angst 1
another 2
any 1
apartment 2
apprentice 1
apprentices 1
apprenticeship 1
arctis 1
are 4
argument 1
arianna 1
arranges 1
arrested 2
arrive 2
arrives 2
arrogance 1
as 6
asks 4
assault 3
at 19
attack 5
attacked 4
attacks 3
attend 1
attends 1
auctions 1
avail 2
awakes 2
back 4
backslide 1
bail 2
ball 1
be 3
beat 1
because 3
becomes 2
been 7
being 1
beings 1
bidder 1
bizarrealmost 1
black 5
blame 1
blasts 1
blood 1
bob 1
bound 1
boy 2
boyfriend 1
break 1
breaks 1
bring 1
but 7
butterfly 2
by 11
call 1
calls 2
camp 3
can 3
candle 1
cannot 3
cant 1
capital 1
captive 1
carpenter 3
carpenters 1
casts 2
chair 1
charity 9
chicago 3
children 3
church 1
circles 1
cloud 1
clues 1
cold 1
coldcocks 1
colorado 1
come 1
comes 1
commit 1
compare 1
complains 1
con 2
condition 1
confronts 2
consent 1
contains 1
convention 5
conversation 1
convince 1
council 7
counsel 1
court 5
courts 1
crane 11
creatures 1
crime 1
cross 1
damocles 2
daniel 3
darby 1
daughter 1
day 2
days 1
dead 1
death 1
debt 1
declaring 1
dedicate 1
dedication 2
deliberation 1
demonic 1
demoted 1
dereliction 1
desire 1
despite 1
destroy 1
destroys 1
det 2
detained 1
detaining 1
detect 1
detecting 1
detective 3
detention 1
did 2
didnt 1
directly 1
director 1
discover 2
discovers 2
disrupt 1
distance 1
distract 2
divert 1
doesnt 2
doom 2
dresden 71
drives 1
drug 2
drugs 1
duchess 1
due 1
duke 1
duty 1
ebay 1
ebenezar 1
eldest 1
else 1
ends 1
enrages 1
enters 1
erlking 1
escape 4
escapes 1
even 1
events 2
every 1
everyone 1
execute 2
executedand 1
execution 2
exhusband 1
explains 3
fae 2
faerie 3
fairy 1
family 4
father 1
fear 1
fears 1
feed 1
feel 1
feels 1
few 1
fight 2
fighting 1
fights 1
find 1
finds 1
finish 1
fire 2
fix 4
flares 1
for 16
forbidden 1
forcefully 1
forces 1
forget 1
forthill 1
fortress 2
frees 1
from 8
gain 1
garden 1
gate 2
gatekeeper 3
gateway 1
get 2
gets 1
girl 1
gives 2
glad 1
glau 6
go 2
godmother 2
goes 2
greene 7
ground 3
group 2
guarding 1
guards 1
guide 1
guilty 2
gunpoint 1
had 1
handcuffed 1
happenings 1
happy 1
harry 1
has 7
have 5
havent 1
he 19
head 2
heads 1
held 1
hellfire 2
help 6
helps 1
her 14
herd 1
herself 1
high 1
highest 1
highlyplaced 1
him 4
hinky 1
his 12
holds 1
holes 2
holy 2
home 6
horror 1
hospital 2
hotel 1
hours 3
however 1
hums 1
ice 1
if 2
ignorance 1
illegal 1
illegally 1
immediately 1
impassioned 1
imprisoned 1
in 13
individuals 1
inexplicable 1
instances 1
interrogates 1
interrogation 1
interrupted 1
intervenes 2
into 2
investigate 1
investigative 1
invites 1
iron 1
is 17
isnt 1
it 7
itself 1
join 1
just 1
kidnapped 1
kill 3
kills 1
knight 5
know 1
korean 1
lab 1
lady 2
lasciel 1
later 1
laws 2
lawyer 1
leads 1
learn 1
leave 1
letting 1
liberty 1
lied 1
life 1
light 1
lily 8
lilys 1
limping 1
listentowinds 1
little 1
live 1
locate 1
longer 1
look 1
looks 3
luccio 1
lucius 2
lydia 2
mab 4
madness 1
madrigal 2
maeve 3
magic 14
magical 1
magicinhibiting 1
make 1
makes 1
manacles 1
martha 1
mary 2
marys 1
maybe 1
mcanally 1
mccoy 3
means 1
mechanics 1
meet 1
meeting 2
meets 1
member 1
members 1
mental 1
mentally 1
merlin 1
michael 4
might 1
mindcontrol 1
minor 1
misses 1
molly 28
mollys 1
monster 2
monsters 1
moonlighting 1
most 1
mother 1
mouse 5
move 1
moved 1
movie 3
murphy 10
must 3
names 1
nearly 1
neither 2
nelson 6
nelsons 1
neutral 1
never 1
nevernever 2
new 1
next 2
no 3
not 3
notes 1
notices 1
of 30
old 1
oldest 1
on 11
one 5
only 1
opens 2
orchestrating 1
order 1
ordered 1
ortega 1
other 2
others 1
out 3
outsiders 1
over 2
owes 1
own 1
panic 1
panicked 1
parental 1
parents 3
patience 2
peacefully 1
people 1
permission 1
phage 1
phages 3
phobophages 3
pipe 1
place 1
placed 1
plans 1
pleads 1
point 1
police 2
possession 1
post 1
power 3
powerful 1
pregnant 1
prepares 1
presumption 1
prime 1
prisoners 1
protect 1
proven 1
pub 1
pursue 1
queen 2
question 1
questioning 1
questions 2
raith 1
rawlings 9
readers 1
real 1
realizes 3
realizing 1
realmeven 1
reappear 1
recent 1
recently 1
recognized 1
reconcile 1
red 4
redirected 1
redirection 1
refers 1
releases 1
reluctantly 1
rents 1
repeatedly 1
reporter 1
requests 1
retaliated 1
retreat 1
return 1
returned 1
returns 1
rick 1
right 1
ritual 1
rolling 1
room 2
rosie 2
safe 1
safety 1
sandra 1
save 1
saved 1
says 1
scans 1
scarecrow 6
scene 1
school 1
secretly 1
security 1
