2931456
/m/08dg8l
/m/08dg8l
Kate DiCamillo
2003
a 41
about 3
access 1
accidentally 1
act 1
after 2
afterwards 1
agrees 1
all 5
allowed 1
already 1
also 2
always 1
amazement 1
amongst 1
an 2
and 38
anyone 1
apart 1
are 3
armor 1
around 1
arrest 1
arrive 1
arrives 1
as 4
ate 1
attempting 1
back 4
be 4
beats 1
because 5
become 4
before 2
begins 3
being 1
believe 1
believes 1
birth 1
book 7
books 2
born 2
botticelli 2
bowls 1
brightly 1
brings 1
brother 1
building 1
but 4
by 8
called 1
calls 3
can 3
castle 5
causing 2
chandelier 1
chiaroscuromeaning 1
childhood 1
chops 2
chores 1
cigarettes 2
climbs 1
close 1
cloth 1
colored 1
come 1
concludes 1
confesses 1
considered 1
conversation 1
convinces 1
cook 5
council 2
covered 1
covers 1
crown 1
crying 1
cuts 1
dark 1
darkness 2
daughter 1
day 1
dead 2
deaf 1
death 2
decides 1
delighted 1
deliver 1
desperaux 1
despereaux 27
despereauxthere 1
did 1
died 1
dinner 1
discovered 1
disgusted 1
divided 1
doesnt 1
dor 1
doubt 1
down 2
dreams 1
dress 1
dungeon 8
dungeons 5
during 2
eared 1
ears 2
eat 1
else 1
em 1
enjoys 1
entire 1
entranced 1
escapes 2
especially 1
even 1
event 1
ever 2
everyone 1
everything 2
evil 1
eyes 1
falls 2
family 1
father 4
find 1
first 1
flee 1
flour 2
focuses 1
followed 1
follows 1
for 10
forcing 1
forgives 1
four 1
fourth 1
freed 1
friends 1
from 3
furloughhis 1
gains 1
ghost 2
girl 2
gives 2
go 2
goes 2
grandeur 1
greatest 1
gregory 5
griefstricken 1
guard 1
guards 1
handful 1
happen 1
happening 1
happily 2
happiness 1
has 1
he 20
head 1
hears 2
heartbroken 1
hell 1
helmet 1
helping 1
helps 1
hen 2
her 14
him 12
his 8
hovis 1
how 1
however 5
hunted 1
i 1
if 3
ii 1
ill 1
in 13
including 1
into 4
is 25
it 2
jailer 1
job 1
join 1
kettles 1
kidnap 3
kill 2
killed 1
king 6
kingdom 1
kitchen 2
knife 3
knight 2
knights 2
know 1
knows 1
lands 1
large 1
lazy 1
lead 2
leads 1
learns 1
leaving 1
led 1
lester 2
lets 1
light 2
lightdark 1
like 2
live 1
locked 1
lost 1
lots 1
love 1
main 1
make 2
makes 1
making 2
man 1
many 3
marvel 1
meal 1
meanwhile 2
meets 3
mice 2
mig 19
miggery 3
missing 1
mistake 1
morning 1
mother 1
mouse 5
mousehating 1
musiche 1
mysterious 1
named 2
needle 2
never 1
next 1
nicknamed 1
night 1
nobody 1
not 2
notice 1
novel 1
obsessed 1
occasionally 1
odd 1
of 12
off 2
offers 1
on 8
one 3
only 3
orders 5
origins 1
other 3
out 1
outlaws 1
over 2
pain 1
panic 1
partially 1
particularly 1
past 1
pea 13
philip 1
plans 1
princess 13
prisoner 1
queen 2
queens 1
quest 1
rat 4
rats 5
read 1
reading 2
recently 1
red 3
refuses 1
related 2
remain 1
removes 1
return 1
reunites 1
reveal 1
revenge 1
room 1
roscuro 18
royal 1
runt 1
sack 1
saves 2
scene 1
search 1
sections 1
see 2
seek 1
seen 3
sees 1
sent 3
sentencing 1
separate 1
servant 2
set 1
sewing 2
she 8
shining 1
sixyearold 1
sleeping 1
smallsickly 1
smell 1
so 2
sold 2
some 3
soon 1
sound 1
soup 11
sow 3
speaks 1
spends 2
spool 1
spoon 2
spoons 1
starts 1
story 2
suffer 1
sword 1
table 1
tablecloth 1
tail 2
take 2
tell 1
tells 4
that 14
the 66
then 8
there 2
they 4
third 1
this 2
thread 1
threadmaster 1
threatens 1
three 1
through 1
throughout 1
tilling 1
time 1
to 50
together 1
tray 1
treat 1
tricked 1
uncle 2
underground 1
unlike 1
up 1
upstairs 1
vows 1
want 1
wants 1
was 3
watch 1
way 1
wears 1
weep 1
weight 1
when 2
where 2
which 3
while 3
who 9
why 1
will 3
wish 1
with 12
witnesses 1
woman 1
work 2
years 3
