1345253
/m/04vfx1
/m/04vfx1
Clive Barker
1987
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/04n87l": "Dark fantasy"}
a 13
abilities 1
accidentally 1
after 1
against 2
age 1
ago 1
all 1
alongside 1
also 2
an 2
and 15
around 1
as 5
assaulted 1
at 1
battle 1
beautiful 1
become 1
being 3
belongings 1
book 1
by 4
cal 2
calhoun 1
can 1
centuries 1
characters 1
clues 1
collect 1
comes 1
commonly 1
contact 1
control 1
creature 1
creatures 1
dead 1
deals 1
decades 2
decided 1
decimated 1
demons 1
depicting 1
describe 1
destroy 1
destroyed 1
destructive 1
develops 1
down 1
eight 1
elderly 1
emerges 1
encloses 1
entirely 1
eradicated 1
exiled 1
existence 1
expires 1
facing 1
fairies 1
find 1
for 4
forces 1
forests 1
form 1
from 2
fugue 4
given 2
gone 1
granddaughter 1
grandmother 1
greedy 1
guarding 1
had 1
haven 1
having 1
her 4
hide 1
hiding 1
hills 1
human 3
humans 2
hunted 1
immacolata 2
in 6
interest 1
into 2
is 2
it 1
its 2
join 1
keeping 1
kind 1
known 2
laschenski 1
later 1
leave 1
lies 1
longer 1
magical 3
man 1
many 1
meadows 1
mimi 3
mooney 1
most 1
mountains 1
moves 1
mythological 1
named 1
nature 1
no 1
none 1
nonseerkind 1
novel 1
number 1
of 14
old 1
one 1
or 1
ordinary 1
outside 1
parish 1
part 2
place 1
places 1
purpose 1
race 1
rapture 1
realises 1
recently 1
resurrected 1
revolves 1
rug 8
safe 2
scotland 1
scourge 3
second 1
secrets 1
seerkind 5
sees 1
shadwell 1
since 1
sisters 1
someday 1
speak 1
spell 2
stroke 2
struggle 1
sudden 1
survived 1
surviving 1
suzanna 3
tales 1
that 1
the 35
their 3
them 3
themselves 2
they 1
third 1
this 2
those 1
through 2
time 1
to 6
ultimate 1
uncover 1
undergo 1
unknown 1
unleashed 1
unleashing 1
wants 1
well 1
when 1
which 2
who 1
wife 1
with 5
within 3
woman 1
world 8
woven 1
young 1
