9777536
/m/02prx2h
/m/02prx2h
Joyce Carol Oates
2001-09-04
{"/m/01qxvh": "Romance novel"}
11 1
3 1
a 43
abigail 12
about 3
abusive 1
accident 3
acquainted 1
adam 11
admits 1
adopted 1
affair 2
after 8
again 1
agent 1
aggressive 1
agrees 2
aids 1
all 1
allergy 1
alone 1
aloud 1
also 1
although 1
an 8
and 31
angry 2
another 3
answerphone 1
apollo 3
appears 1
archer 2
architect 1
are 1
arranged 1
art 1
artist 1
as 8
asian 1
asianamerican 2
ask 1
asking 1
at 8
attends 3
attention 1
augusta 3
ault 2
away 2
baby 1
back 6
ballet 1
be 8
beatrice 2
because 1
becoming 1
been 2
before 1
being 1
believe 1
belongs 1
bequeathed 1
berendt 1
beret 2
beverly 1
bitten 1
book 3
books 1
bookshop 1
boomer 1
bought 1
boyfriend 2
brady 1
breaking 1
breaks 1
brief 1
but 2
by 4
call 1
calls 4
camille 8
campsite 1
campus 1
cancer 1
car 2
care 1
carpark 1
cavanagh 5
charge 1
charismatic 1
child 2
children 2
city 2
clear 1
client 2
comes 1
coming 2
concisely 1
conclusion 1
confesses 1
confessing 1
considerate 1
cookout 1
corpse 1
county 1
court 1
cremation 2
croom 1
crops 1
cutler 4
daughter 3
day 2
days 1
death 3
decides 1
deluded 1
delve 1
demascus 1
depression 1
des 2
described 1
detective 1
die 1
diner 1
dinner 5
dismisses 1
does 1
dog 3
dogs 2
donegal 2
down 2
dreaming 1
dreams 1
drives 1
drowns 1
drunk 1
due 1
during 1
dynamic 1
dyslexic 1
eastman 1
eerily 1
elias 1
elizabeth 1
elroy 1
ends 2
enough 1
estate 1
even 1
event 1
eventually 2
exhusband 2
family 1
father 4
feminist 1
ferris 1
few 1
fiercely 1
finally 1
financially 1
find 1
finding 1
finds 4
fire 1
flirt 1
florida 1
folly 1
for 12
forges 1
formerly 1
foster 1
fourth 1
francis 1
frat 1
from 5
fuss 1
gerhardt 5
get 2
gets 3
girl 6
girlish 1
goes 4
good 1
grown 1
guesthouse 1
gulf 1
had 7
harry 1
has 11
have 2
having 1
he 12
hears 1
hed 2
hence 1
her 30
hers 1
herself 1
him 10
himself 1
hired 1
his 18
historic 1
hits 1
hockey 1
hoffmann 2
hoffmanns 2
hogan 1
holiday 1
home 5
hotel 1
house 6
household 1
however 1
husband 2
identify 1
if 1
ignoring 1
impotent 1
impromptu 1
in 18
infatuated 1
inherited 2
innocent 1
inside 1
interrupted 1
intimate 1
into 3
invites 1
ironically 1
is 20
isnt 1
it 8
ivers 1
jackson 1
jared 3
jest 1
joio 1
jr 1
july 1
killed 1
kitchen 1
lack 1
late 1
lately 1
later 6
lawyer 2
learn 2
learns 1
learnt 1
leave 1
leaves 4
leaving 1
left 2
legal 1
let 2
librarian 1
like 1
line 1
lionel 8
little 4
live 2
lived 1
lives 1
lorene 1
love 1
maimed 2
makes 1
making 1
mall 1
man 1
many 1
marina 9
marriage 1
married 1
marry 2
massage 1
match 1
meal 1
mean 1
meanwhile 3
meets 1
message 1
middleaged 1
million 1
mistakenly 1
mistress 1
mobile 1
molly 1
money 1
more 1
motel 1
mother 1
mountains 1
mrs 1
mugged 1
name 2
named 1
nearly 1
needs 1
neighbour 3
never 1
new 2
next 3
night 4
noami 2
north 1
not 1
now 1
of 16
on 7
one 2
only 2
operated 1
out 4
over 3
owen 3
own 1
owner 2
paralegal 1
party 1
past 1
pay 2
pays 1
persian 1
pester 1
petrol 1
pieces 1
poet 1
poetry 1
prefers 1
pregnant 2
pres 2
pretending 1
private 1
professionalism 1
promptly 1
prostate 1
pryde 1
pulitzerwinner 1
pushy 1
quest 1
quickly 1
rape 1
reads 1
realizes 1
red 2
refused 1
reginald 1
relative 1
rescue 1
rescued 2
rescues 2
rich 2
rick 1
river 1
robin 1
rocky 1
roger 9
room 1
row 1
running 1
said 1
salthillonhudson 2
same 4
say 1
says 1
scheme 1
sculptor 1
sculptures 1
second 1
seem 1
seems 1
sees 1
selfstyled 1
sell 1
set 1
seven 1
she 24
shift 1
shop 2
sign 1
signed 1
simultaneously 2
since 2
sinks 1
siri 2
sister 1
sleep 1
small 1
snowploughing 1
sobs 1
social 1
society 1
some 1
somehow 1
son 3
soon 2
spend 2
spires 1
spiteful 1
spots 1
stalking 1
stalks 1
starts 1
station 1
stop 1
store 1
stray 1
suburb 1
suburban 2
summer 1
summons 1
support 1
supposed 1
system 1
take 1
taking 1
talk 1
talking 1
talks 1
tamar 1
tampering 1
taunts 1
teenaged 2
teenager 1
telephone 1
tells 1
that 15
the 34
their 5
them 1
then 9
there 3
thereby 1
they 7
this 1
three 1
tierney 2
time 6
to 45
together 1
too 1
totally 1
tries 1
troy 3
under 1
unfinished 1
until 1
up 3
upbraid 1
very 1
victim 1
visit 2
visits 2
volpe 2
walking 1
war 1
was 4
we 2
wealthy 1
well 1
west 1
when 2
which 1
while 3
who 2
wife 1
will 3
winter 1
with 18
without 1
worried 1
would 1
xavier 1
years 2
york 2
young 1
