3951107
/m/0b88pc
/m/0b88pc
Thomas Berger
1980
{"/m/059r08": "Psychological novel"}
a 3
aggressive 1
and 9
antagonism 1
behavior 1
between 1
boorish 1
both 1
but 2
changes 1
content 1
control 1
couple 1
course 1
daughter 1
door 1
dull 1
earl 4
elaine 2
endear 1
enid 2
escalates 1
family 1
fears 1
freespirited 1
harry 2
he 1
his 4
household 1
impose 1
in 1
intimidating 1
into 1
is 5
keese 2
less 1
life 2
losing 1
middleaged 1
middleclass 1
move 1
neighbors 1
new 1
next 1
night 1
of 2
on 1
one 1
over 1
overbearing 1
personalities 1
physically 1
ramona 2
sexually 1
sophisticated 1
suburban 1
suburbanite 1
teenage 1
that 1
the 3
their 1
them 1
themselves 1
this 1
to 1
unexceptional 1
vulgar 1
warfare 1
when 1
wife 1
with 2
younger 1
