262839
/m/01m_rx
/m/01m_rx
Roger Zelazny
1985-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
30 1
a 3
and 6
another 1
april 1
attempt 1
attempts 1
barnes 1
be 1
become 1
been 1
before 1
better 1
blue 1
brand 1
building 1
by 2
can 1
capable 1
cave 1
completed 1
computer 2
control 1
convince 1
creatures 1
crystal 1
defending 1
down 1
earth 1
elsewhere 1
eventually 1
every 1
exgirlfriend 1
failed 1
finds 1
for 1
friend 1
from 1
ghostwheel 4
given 1
has 3
having 1
he 4
him 3
himself 1
his 2
however 1
imprisons 1
in 3
investigates 2
is 2
it 1
itself 1
julia 2
kill 1
king 1
know 1
last 1
learning 1
leaves 1
lucas 1
luke 2
may 1
meets 1
merlin 5
of 3
on 1
orders 1
out 1
patternbased 1
project 1
random 1
reynard 1
salesman 1
science 1
sentient 1
several 1
shadow 3
shut 1
slain 1
so 1
some 1
son 1
spent 1
stay 1
take 1
tells 1
that 1
the 2
through 1
to 6
tries 1
trouble 1
trump 1
trying 1
turns 1
while 1
who 4
why 1
wishes 1
with 1
years 1
