11709876
/m/02rpq90
/m/02rpq90
Maeve Binchy
2000
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 5
affluent 1
against 1
alcoholic 1
ambitions 1
an 1
and 13
are 3
as 4
beautiful 1
being 1
between 2
book 1
brother 1
business 2
but 1
called 1
care 1
catering 2
cathy 5
characters 4
college 1
come 1
company 1
couple 1
disappeared 1
distance 1
dreams 1
end 1
explores 1
familiar 1
family 1
far 1
father 1
feather 3
fledgling 1
floors 1
for 2
fortunes 1
friend 1
gives 1
growing 1
growth 1
hannah 1
hard 1
has 2
her 2
household 1
in 3
is 5
it 1
its 1
james 1
less 1
life 1
lizzie 2
lot 1
main 2
makes 1
marcella 2
marriage 1
married 1
maud 1
minor 1
mitchell 1
model 1
more 1
mother 3
muttie 1
name 1
need 1
neil 4
nephew 1
niece 1
not 1
novel 2
of 11
older 1
one 1
parents 1
part 1
relationship 1
relationships 2
responsibility 2
scarlet 3
scrub 1
set 1
shona 1
simon 1
son 1
spending 1
strife 1
such 1
take 1
the 11
their 3
them 1
themes 1
there 1
they 1
those 1
throughout 1
time 1
to 2
tom 2
too 1
totally 1
town 1
traced 1
traces 1
twin 1
up 2
used 1
ventures 1
walter 1
was 1
wealthy 1
well 1
where 1
which 2
who 3
willing 1
with 2
younger 1
