17471692
/m/04cr510
/m/04cr510
David Almond
2003-08-14
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
162 1
a 3
ailsa 1
all 1
and 3
autumn 1
bay 1
be 1
before 1
bobby 4
bullying 1
burns 1
but 1
by 1
coalmining 1
crazy 1
crisis 1
cuban 1
during 1
eyes 1
falls 1
father 1
fireeater 1
friend 1
had 1
has 1
he 1
his 2
ill 1
in 3
is 3
keely 1
lives 1
loathes 1
mcnulty 1
miracles 1
missile 1
mysteriously 1
near 1
new 1
northumberland 1
novel 1
nuclear 1
of 2
open 1
perhaps 1
pervaded 1
possibility 1
quiet 1
school 1
set 1
spink 1
summer 1
the 4
there 1
to 1
town 1
war 1
which 1
who 1
will 1
wonderful 1
wonderworking 1
worried 1
worst 1
