24630374
/m/080pw10
/m/080pw10
Bruce R. Cordell

{"/m/06c9r": "Role-playing game"}
27 1
a 4
age 1
ago 2
alien 1
allies 1
and 8
area 1
areas 1
at 1
became 1
began 1
begins 1
begun 1
behavior 1
beyond 1
bizarre 1
bring 1
by 1
bypassed 1
cause 1
characters 1
colony 1
complex 1
conjurer 1
contains 1
control 1
corrupted 1
created 1
creatures 1
decades 1
dimension 1
duergar 3
during 1
elder 1
elves 1
energies 1
eventually 1
every 1
evil 1
experiments 1
far 3
firestorm 4
five 1
foothills 1
gained 2
gate 2
gates 1
guardians 1
have 1
he 2
his 1
hundred 1
if 1
in 6
laboratory 1
last 1
laws 1
legendary 1
located 1
longbridge 1
madness 2
madreus 2
magical 1
manifestations 1
mastery 1
mountain 3
nature 1
nearby 1
needs 1
not 1
of 11
opened 1
opens 1
other 1
over 1
peak 4
physical 1
player 1
prehistory 1
previous 1
provide 1
range 1
realm 3
residing 1
rest 1
settled 1
shirelands 1
society 1
spread 1
stopped 1
studies 1
that 1
the 26
they 1
three 1
thrived 1
time 1
to 6
under 1
underneath 2
village 1
warp 1
warped 1
where 1
which 1
will 1
with 1
world 2
years 3
