3852201
/m/03bzfsh
/m/03bzfsh
William King
1999-08
{"/m/01hmnh": "Fantasy"}
a 71
abandons 1
abducted 2
ability 2
able 1
about 1
accepts 1
accusing 1
achieve 1
across 4
act 2
active 1
actually 1
adults 1
adventurers 1
affair 1
afforded 1
after 14
aftermath 1
again 1
aid 1
albericht 1
aldebrand 2
all 2
alluded 1
almost 1
also 2
altdorf 2
although 1
amnesia 1
an 9
ancestors 1
ancient 1
and 105
angrily 1
another 3
approaching 1
approval 1
are 19
army 7
arrival 2
arrive 1
arrives 1
arriving 1
arrogantly 1
arrow 1
as 21
ask 1
asks 2
assistant 1
at 10
attack 7
attacked 2
attacking 1
attacks 5
attentions 1
attracted 1
avenge 1
avoiding 1
baby 2
back 4
background 1
bait 1
band 2
barred 1
based 1
bashed 1
battle 4
battlements 1
battles 1
battling 1
be 3
beast 4
beastman 1
beastmen 5
beasts 1
beat 1
beautiful 1
because 2
become 2
bed 1
been 1
before 5
beg 1
begins 4
behind 1
being 3
believes 2
beneath 1
between 1
black 2
blade 2
bless 1
blood 1
blow 1
blutdorf 1
bodies 2
body 2
border 3
both 3
bound 3
break 4
breaks 1
bretonnian 1
brew 2
brings 2
broke 1
broken 1
brought 1
built 1
burst 1
bursts 1
but 9
by 27
called 4
camp 1
camped 1
can 3
cannot 2
captive 1
captivity 2
capture 1
captured 2
carried 1
carry 1
carts 1
castle 5
caused 1
causing 1
certain 1
chains 3
champion 3
chants 1
chaos 12
chapter 1
children 6
city 7
claim 1
close 1
coach 4
come 4
comes 3
coming 1
comments 1
commotion 1
companions 1
completes 1
comrades 1
confirmed 1
confusion 1
conquer 1
considers 1
consign 1
constantly 1
continue 1
continues 1
controlled 1
corner 1
corrupted 1
could 1
count 2
coven 5
cover 1
crazy 1
create 2
creature 2
cult 3
cultist 1
cultists 6
curse 3
cursed 2
cursing 1
cutting 1
daemon 1
dagger 2
danger 1
dangerous 1
dark 2
darkness 1
darkstone 2
day 2
days 1
dead 4
death 4
decide 2
dedicated 1
deed 1
deeper 1
deeply 1
defeat 1
defeating 1
deiter 1
denied 1
depths 1
desecrate 1
desecrated 1
destined 1
destroy 2
destroying 1
destroys 1
die 1
diehl 1
diehls 4
dies 1
dieter 1
direction 1
disappear 1
disappeared 2
discover 2
discovered 1
discovers 1
distract 1
distracted 1
doom 1
door 1
down 1
dragged 1
drakwald 3
drive 1
driver 3
drives 1
drug 1
duel 1
dungeons 1
during 3
dwarf 1
dwarven 3
dwarves 2
dwell 1
dying 2
each 1
ease 1
easier 1
easily 1
edge 1
effect 1
effort 2
egotist 1
eight 5
eightpeaks 1
empire 1
ends 1
engineer 1
enter 2
enters 1
escape 2
especially 1
eternal 2
eventually 1
evil 2
explains 6
eye 1
fact 2
falls 1
families 1
family 2
fanatic 1
far 2
father 1
fear 1
felix 39
felled 1
fellow 1
female 2
fiery 2
fight 4
finally 7
find 8
finding 1
finds 1
fire 2
first 4
flee 3
followed 1
following 2
foot 1
for 10
forbidden 1
forest 5
forget 1
form 1
former 1
fort 2
frau 3
free 1
frequently 1
from 11
fulfilling 1
fury 1
gang 1
gate 1
gates 1
gathers 1
geheimnisnacht 2
general 1
get 1
ghostly 1
ghosts 6
gibberish 1
gifted 1
girl 5
given 1
glimpse 1
go 4
goblin 2
goblins 4
god 2
goes 3
going 1
gotrek 33
gottfired 1
gottfried 1
grandfather 1
great 4
greaterthat 1
grey 1
group 6
gunter 3
had 2
hall 2
halls 1
hand 1
happened 1
harm 1
has 9
haunts 1
have 6
having 2
he 20
head 4
heading 2
heal 1
healed 1
healer 2
heard 1
heart 2
heavy 1
hef 2
heirloom 1
held 2
help 1
helps 1
her 21
heretic 1
heroic 2
herself 1
hills 1
him 13
himself 1
hinted 1
hinting 1
his 30
holds 1
honour 1
horde 2
how 2
however 5
hrothgar 2
huge 3
human 1
humans 1
hurt 1
ignites 1
ignores 1
immediately 1
immortality 1
imperial 1
in 45
including 2
infest 2
ingredients 2
injures 1
inn 1
innkeeper 1
innocent 1
instantaneously 1
intended 1
interrogated 1
intervene 1
intervenes 1
into 3
introduces 1
investigate 1
is 31
it 14
its 3
join 1
joins 1
journey 1
journeying 1
jules 2
just 1
justine 6
karaghul 3
karak 6
kat 10
keeps 1
kell 2
kept 1
khorne 1
kicked 1
kill 5
killed 1
killing 5
kills 7
kirsten 4
knowledge 1
kruger 8
kryptmann 3
lamp 1
lands 2
lars 2
later 3
latter 1
leader 4
leading 1
leads 1
learn 5
learns 3
leave 6
leaving 3
led 2
left 2
letting 1
lieutenant 1
life 1
light 1
lights 2
likewise 1
listen 1
local 1
location 1
longer 1
lord 1
losing 1
love 1
lying 1
mad 1
made 1
magdalena 3
magical 1
main 1
make 3
manages 2
manfred 4
manor 4
many 2
marauding 1
mark 1
massive 1
master 1
matters 1
meet 1
meeting 1
meets 1
megalomaniac 1
memory 1
men 4
migration 1
mind 1
misgivings 1
monster 3
more 2
most 1
mother 1
mountains 2
move 1
moving 1
murdering 1
mutant 2
mutants 5
mutate 1
mutated 2
mutation 1
mutations 1
mysteriously 1
narrowly 1
nearby 3
nearly 1
neck 1
nephew 1
never 2
new 1
next 1
night 1
no 4
noble 1
nobleman 3
nor 1
not 2
now 2
nuln 2
of 67
off 7
ogres 1
oleg 1
on 21
one 3
only 2
or 1
orcs 2
order 2
other 2
out 4
outside 1
over 1
overpowered 1
own 2
pack 1
pair 10
part 2
party 1
passing 1
path 1
peace 1
peaks 5
people 1
perform 1
permission 1
perspective 1
picks 1
pile 1
place 1
placed 1
places 1
plans 2
pleasure 1
possession 1
power 1
powerful 2
pregnancy 1
