19516886
/m/04n139d
/m/04n139d

2007-09-18
{"/m/01hmnh": "Fantasy"}
3 1
37 1
50 1
7th 2
a 18
able 1
about 1
after 1
allowing 1
alone 1
although 1
an 1
and 13
another 1
any 2
anyone 1
anytime 1
are 9
arms 1
arrives 2
as 1
at 3
aware 1
back 1
bad 1
battle 1
be 1
becker 5
bedroom 2
been 4
beginning 1
being 1
best 1
blocked 1
bomb 1
both 1
briefer 4
called 3
can 3
casey 3
cassiopeia 1
catch 2
cause 1
caused 1
causing 1
celebrating 1
chain 3
chills 1
clean 1
combined 1
commence 1
complicated 1
consisting 1
controls 1
could 2
covas 1
cubes 1
department 3
destroy 1
destroying 1
destruction 3
destructive 2
develop 1
dissembling 1
down 1
drane 2
drought 1
due 1
during 2
easily 1
effect 3
enough 1
epilogue 1
even 1
events 4
everyone 1
exceptional 1
experiencing 1
fellow 1
fertilizer 1
few 1
finally 2
find 1
finds 1
first 1
five 1
fix 2
fixer 5
fixers 1
fixing 2
for 3
from 2
frozen 2
frye 1
gathered 1
get 3
getting 1
give 1
given 1
glitch 8
glitches 2
good 3
had 1
hand 1
hands 1
has 1
have 5
helping 1
hiding 1
highly 1
him 1
his 8
hopes 1
however 3
ice 1
if 1
in 11
ingredients 1
invention 1
is 9
it 1
items 1
just 1
known 1
lake 2
late 1
later 1
left 1
life 2
made 2
make 1
many 2
mass 1
master 2
meets 1
might 1
minho 1
mission 2
missions 1
moments 2
most 1
nature 1
news 1
night 4
no 1
not 3
occur 1
occurs 1
of 19
on 1
one 6
our 1
out 2
own 1
panic 1
period 1
person 2
portugal 1
problem 1
problems 2
professionals 1
promoted 1
pull 1
quickly 1
rain 2
reality 1
reason 1
receives 1
reverted 1
ripple 3
second 1
seconds 2
seems 3
seemsian 1
sense 2
sent 2
series 1
set 1
severe 1
simly 3
situation 1
sleep 5
sleeps 2
slipping 1
someone 1
soon 1
special 1
start 1
stolen 1
stored 1
successful 2
sweep 1
team 2
that 6
the 36
they 4
thirty 1
this 1
though 1
thought 2
three 1
time 2
to 14
toes 1
together 1
told 1
too 1
tower 1
trained 1
trap 1
trays 1
trying 1
unknown 1
unpredictable 1
up 3
using 1
village 1
warning 1
was 2
water 1
weeks 1
were 2
whatever 1
when 1
where 2
which 2
wink 1
wiped 1
wires 1
with 7
within 1
world 4
would 1
