7418400
/m/026105s
/m/026105s
Terry Brooks
2008
a 6
able 3
about 3
accompany 1
after 3
again 3
against 1
aimed 1
all 1
allanon 2
also 1
although 1
and 24
any 1
are 1
arriving 1
as 4
asked 2
attempted 3
back 3
be 1
became 1
become 3
been 2
before 1
began 1
boh 1
both 1
break 1
brin 2
bring 1
broken 1
but 1
by 5
captured 1
castle 1
cave 1
cogline 8
combat 1
come 1
confronted 1
contact 1
croton 5
dark 1
darklin 1
dazed 1
deathbut 1
decided 2
defense 1
destroy 1
destroyed 2
discovered 1
do 2
dream 1
druid 1
druids 1
engage 1
eventually 1
every 1
feared 1
fell 1
final 1
find 1
first 1
for 1
forced 4
forcing 1
forego 1
found 3
from 3
gain 1
garet 6
had 5
halfblind 1
has 1
having 1
he 15
hearthstone 1
her 6
him 3
himself 2
his 2
how 3
if 2
illusion 1
in 4
indomitable 1
information 1
inside 1
into 1
is 2
it 4
jair 17
jax 5
kill 1
kimber 6
knocked 1
koden 2
late 1
lead 1
learn 1
learns 1
leave 1
left 3
leg 1
lived 1
living 1
lose 1
made 1
magic 3
managed 2
master 2
meeting 1
mist 3
more 2
mwellrets 4
night 1
not 2
of 9
ohmsford 2
once 2
out 1
paranor 8
power 2
previously 1
prisoners 1
promise 2
promised 1
protective 1
quickly 2
reach 1
real 1
recover 1
recurring 1
refrain 1
relives 1
reluctantly 1
request 1
rescue 1
restore 1
restored 1
restoring 1
return 2
reunion 1
rock 1
run 1
safety 1
saying 1
secrets 1
section 1
seek 1
shade 1
shannara 1
she 4
sister 1
slain 1
slanter 8
slayed 1
slays 1
so 3
something 1
soon 1
speed 1
stay 1
stop 1
take 1
talked 1
tells 1
that 8
the 31
their 2
them 2
then 1
they 8
thing 1
thrown 1
to 40
told 2
too 1
took 1
tortured 1
tracked 1
tracks 1
transform 1
trapped 1
travel 1
unable 1
until 1
upon 2
use 2
used 2
using 1
visited 1
was 9
weapons 1
well 1
were 4
where 2
which 2
whisper 1
who 6
wishsong 4
witch 5
with 6
work 1
world 1
would 2
wraith 1
