14880653
/m/03h05_j
/m/03h05_j
Poul Anderson

5 1
a 6
ability 1
able 1
about 1
adopting 1
africans 1
after 2
against 1
all 3
almost 1
america 1
an 1
and 6
animal 3
animals 2
antiscientific 1
are 3
as 9
assistance 1
at 1
baal 1
based 1
be 1
became 1
becomes 1
becoming 1
book 2
by 1
cannot 1
capable 1
causing 1
centralized 1
change 1
chimpanzees 1
chinese 1
circumstance 1
colonial 1
common 1
communist 1
conductors 1
cope 1
cretaceous 1
cretaceouspaleogene 1
dampening 1
deal 1
description 1
develop 1
developed 1
died 1
disappear 1
discover 1
earth 6
economy 1
end 1
energy 1
environmental 1
escaping 1
event 2
extinction 1
field 3
for 2
genes 1
get 1
goes 1
government 2
groups 1
higher 1
his 1
however 1
human 1
humans 1
idea 1
in 5
inside 1
institutions 1
insulating 1
intellgience 1
intelligence 1
intelligent 2
interstellar 1
into 1
inventing 1
is 1
life 2
long 1
lyrical 1
means 1
modern 1
money 1
more 1
moved 1
moves 1
neurons 2
new 2
no 2
nonhuman 1
north 1
novel 1
now 1
of 9
off 1
on 5
ones 1
opens 1
or 1
other 2
out 3
overcome 1
passed 1
people 2
period 1
prechange 1
pressure 1
pseudoscience 1
rabbit 1
races 2
reason 3
rebel 1
religions 1
result 1
rule 1
seemed 1
select 1
society 1
some 1
space 1
start 1
stuck 1
such 2
suddenly 1
sufficiently 1
survived 1
that 3
the 22
their 2
them 1
theme 1
there 1
they 3
third 1
this 3
through 1
times 2
to 6
trap 1
traps 1
travel 1
tribulations 1
triumphs 1
various 1
vital 1
was 2
way 2
weeks 1
when 1
which 2
while 1
with 5
within 1
