404176
/m/0246mr
/m/0246mr
Geoffrey Chaucer

100 1
a 4
about 2
after 1
against 1
all 1
almost 1
although 1
an 1
and 15
any 1
apiece 1
arcita 7
arcite 1
are 2
arrival 1
as 3
asked 1
assemble 1
assistance 1
at 1
athens 2
battle 2
be 2
because 2
becomes 1
before 1
begin 1
both 1
brothers 1
brought 1
but 2
by 9
can 1
captured 1
castle 1
causes 1
cell 1
claim 2
combat 1
competition 1
courtyard 1
creon 1
deaths 1
declares 1
diana 1
dies 1
disguise 1
down 1
dragged 1
drugging 1
duel 1
duke 1
each 2
early 1
either 1
emelia 1
emily 10
end 1
enters 1
escapes 1
eventually 1
falling 1
falls 1
fight 3
following 2
for 5
forces 1
fortune 1
friend 1
from 2
fulfilled 1
garden 1
gather 1
get 1
gods 1
good 2
grove 1
hate 1
he 5
heard 1
her 3
hiding 1
him 2
his 6
horse 1
household 1
husband 1
if 2
impossible 1
imprisoned 1
in 9
injured 1
intervention 2
is 8
jailer 1
judicial 1
lays 1
longer 1
love 3
loves 1
make 2
man 1
marries 1
marry 3
mars 1
mass 1
may 1
men 2
moan 1
morning 1
must 1
no 2
of 8
off 1
offices 1
on 2
one 3
other 2
out 1
over 2
overhears 1
overlooks 1
palace 1
palamon 8
pirithoos 1
prayers 1
prays 3
prison 2
prize 1
prove 1
really 1
released 1
returns 1
rules 1
saturn 1
see 2
seems 1
sentences 1
seriously 1
service 1
she 2
should 3
side 1
singing 1
so 2
some 1
stay 1
story 1
sword 1
tells 1
that 6
the 16
their 2
them 2
then 3
there 1
therefore 1
theseus 5
thesus 1
they 1
this 2
those 1
through 1
throwing 1
thrust 1
thwarted 1
to 14
too 1
tournament 2
tower 1
unhorsed 1
unmarried 1
valiantly 1
venus 1
victory 1
wakes 2
well 1
were 2
which 2
while 1
who 5
wife 1
winner 1
wins 1
with 2
would 1
wounded 2
years 1
