17142041
/m/043s6h0
/m/043s6h0
Marian Keyes
1996
12 1
a 8
about 1
adrian 1
affection 1
after 1
american 1
among 1
and 7
are 1
as 1
author 1
bachelors 1
be 1
because 1
begins 1
book 1
but 1
by 1
character 1
chuck 1
come 1
confessions 1
culture 1
daniel 1
dates 1
depressive 1
disastrous 1
drunken 1
eejit 2
eligible 1
encountered 1
followed 1
following 1
fond 1
for 3
fortune 1
fortuneteller 1
found 1
friend 1
friends 2
funny 1
future 1
girl 1
goes 1
gus 1
had 1
handsome 1
has 2
have 1
her 5
humour 1
i 7
im 1
in 3
introduced 1
is 2
keyes 1
know 1
led 1
life 1
like 1
london 1
looking 1
lot 1
lover 1
lucy 6
man 1
marriage 1
marrying 1
me 1
mismatched 1
months 1
most 1
mr 1
nights 1
of 5
oldest 1
out 2
predicted 1
prophecies 1
really 1
revelations 1
right 1
said 1
sense 1
series 1
she 2
shop 1
single 1
singleness 1
soon 1
spends 1
strange 1
sullivan 1
suspect 1
teller 1
that 4
the 5
them 1
there 3
think 1
this 3
three 1
to 2
true 1
unreliable 1
various 1
very 2
video 1
visits 1
wanted 1
was 2
when 1
who 1
why 1
will 1
with 2
write 1
you 1
