29527668
/m/0cc7rtv
/m/0cc7rtv
David Benioff
2008
{"/m/02p0szs": "Historical fiction"}
a 10
abducted 1
able 1
across 1
airlifted 1
allow 1
alone 1
an 4
and 11
another 1
anyway 1
apartment 2
approach 1
are 3
arrested 2
as 5
assorted 1
at 2
barters 1
be 2
beat 1
before 1
beniov 1
besieged 1
bleeds 1
body 1
both 1
brought 1
but 1
by 3
cannibals 1
cast 1
characters 1
chess 1
city 4
colonel 3
come 1
contemporary 1
cook 2
coveted 1
cultured 1
daughter 1
death 1
deserting 1
discovers 1
does 1
down 1
dozen 3
during 1
eggs 5
ejected 1
end 1
escaping 1
eventually 1
father 1
female 1
fight 1
find 2
finger 1
fled 1
florida 1
for 5
freedom 1
gain 1
game 1
german 1
germans 1
given 1
grandmother 1
grandson 1
grechko 1
group 3
guards 1
had 2
half 1
have 1
he 2
him 1
his 6
hospital 1
if 2
in 8
including 1
introduced 1
is 6
jewish 1
journey 1
just 1
kill 1
kolya 7
leaves 1
leningrad 1
lev 12
lives 2
living 1
looting 1
lose 1
loses 1
luftwaffe 1
luxury 1
marry 1
meets 1
migr 1
more 1
mother 1
must 1
narrator 1
never 1
nickname 1
nkvd 2
not 1
novel 1
obtain 1
of 7
officer 2
old 1
older 1
partisan 2
partisans 1
pilot 1
piter 2
poet 1
police 1
prison 1
prisoner 1
promised 1
recently 1
recollections 1
refers 1
refined 1
residents 1
return 1
russian 1
sadistic 1
says 2
secret 1
sent 1
seventeen 1
she 2
shot 1
sister 1
sniper 1
soldier 1
soviet 2
start 1
starving 1
story 1
suggesting 1
survivor 1
taken 2
than 2
that 1
the 22
their 3
them 2
themselves 1
they 6
though 1
three 2
to 12
track 1
turns 1
two 1
unable 1
unit 1
up 1
upcoming 1
use 1
vika 3
vlasov 1
was 1
wedding 1
when 1
which 1
while 1
who 2
will 2
with 1
would 1
year 1
years 1
young 1
