25159906
/m/09gphsb
/m/09gphsb
Michelle Paver
2005-09-30
a 28
ability 1
about 2
abused 1
adhere 1
admits 1
adopted 1
after 3
also 1
an 6
and 36
angry 1
animals 1
any 2
appears 1
approaching 1
area 1
armed 1
arrow 1
arrowwound 1
as 3
asrif 3
assimilate 1
at 3
attacks 1
attempts 1
attracts 1
away 2
back 1
bale 4
be 6
bear 2
become 1
becomes 3
been 9
before 3
belief 1
believe 1
berries 1
bidding 1
blood 1
body 3
both 2
boys 2
break 1
breaking 1
brother 2
but 8
by 10
camp 4
can 1
canoe 1
carcass 2
causing 1
chases 1
child 2
clan 11
clans 4
cliff 2
climb 1
climbing 1
climbs 1
come 1
companion 1
crag 2
created 2
creature 4
crippling 1
cure 4
days 1
deltan 1
demon 1
detlan 3
different 1
discovers 1
dishonoured 1
dive 1
diving 1
does 1
down 1
drift 1
each 1
eagle 1
eat 1
encounter 1
encountered 1
encounters 1
epidemic 1
error 1
escape 1
escapes 1
establish 1
europe 1
events 1
eventually 1
existence 1
experience 1
explains 2
falling 1
father 4
feels 1
female 1
few 1
fights 1
find 2
fish 1
flush 1
followed 1
follows 1
for 7
forest 4
form 1
found 1
four 1
from 9
gather 2
gathered 1
gear 1
giving 1
go 2
goes 5
greatest 1
group 1
grows 1
had 4
hand 2
harness 2
has 12
have 1
he 18
heart 1
help 2
her 3
high 1
him 10
himself 4
his 13
home 1
human 1
humans 1
huntergatherer 1
hunting 1
in 8
information 1
informs 2
inhabited 1
initially 1
injury 1
inside 1
intends 1
into 6
is 13
island 2
islands 2
it 3
its 1
jumps 1
juniper 1
kill 2
killed 4
killer 1
killing 2
kills 1
knowing 1
known 1
knows 1
leader 1
leaders 1
let 1
life 1
live 1
living 3
lock 1
looking 2
made 1
make 1
male 1
mate 1
meet 1
members 2
midsummer 1
midsummers 1
mistaking 1
moments 1
months 1
more 1
mother 2
mountains 1
must 5
named 1
near 1
nephew 1
net 1
night 2
northern 1
notices 1
novel 1
now 2
odd 1
of 20
off 2
on 3
one 2
only 3
opportunity 1
or 1
orca 8
order 1
oslak 1
other 3
out 4
overpowered 1
overpowers 1
own 2
pack 1
particular 1
persuade 1
persuades 1
place 1
plant 4
poison 1
powerful 1
powers 1
previous 1
protagonist 2
punish 1
punished 1
put 1
quarantined 1
quickly 1
rare 2
raven 4
reach 1
realises 4
realizing 1
removed 1
renegade 1
renn 8
rescue 1
rescued 1
responsible 2
return 2
returning 1
reveals 2
revenge 1
rogue 1
rope 1
rush 1
safety 1
sauenn 1
save 2
saw 1
scab 1
sea 4
seal 7
searches 1
seashore 1
seeing 1
seeking 2
senses 1
sent 1
shaman 3
shamanic 1
shamans 1
she 4
shoots 1
sick 1
sickness 5
six 1
small 1
snagged 1
sneaks 2
so 2
some 2
souleater 4
souleaters 3
spirit 1
spread 1
spreading 1
stalking 1
stolen 1
stopped 1
story 1
such 1
suspects 1
swims 1
symptom 1
system 1
taboo 2
take 2
takes 1
taking 1
talk 1
talks 1
teeth 1
tell 1
tells 3
tenris 14
that 20
the 83
their 3
them 2
then 2
these 1
they 5
three 1
through 2
tied 1
to 33
tokoroth 5
top 1
torak 30
tricked 1
trying 1
two 1
unable 2
under 1
unhappy 1
unhook 1
until 2
up 5
walker 1
wants 1
was 3
washing 1
water 3
way 1
ways 1
when 2
which 5
who 3
will 1
with 11
wolf 7
wont 1
would 1
young 2
