22422379
/m/05zm8lk
/m/05zm8lk
Patrick O'Brian
1938
{"/m/08sdrw": "Adventure novel"}
16 1
a 42
ability 2
able 1
about 4
accepting 1
accepts 2
accidentally 1
accommodations 1
accrue 1
acquaintance 1
additional 1
adventure 1
adventures 1
affair 1
after 4
again 2
agrees 1
aids 1
alienated 1
all 1
allies 1
allows 1
ally 1
along 1
also 3
although 1
amid 1
among 3
an 6
and 48
animal 1
annum 1
another 3
any 1
apparent 1
applies 1
are 5
arranged 1
arranges 1
arrives 1
arts 1
as 5
assistant 1
assured 1
at 1
attacked 1
attacks 1
attempts 1
aunt 1
away 1
awayjust 1
back 6
bag 1
bahadur 1
baksh 3
band 1
bargaining 1
be 1
beaten 1
beating 2
because 2
become 1
becomes 5
been 1
before 1
being 2
believes 1
beloved 2
best 2
bid 1
boars 1
bona 1
book 1
borrow 1
both 2
bragging 1
bribing 1
bring 1
british 1
bunnia 3
burst 1
bursts 1
but 2
buying 2
buys 2
by 12
called 1
calls 1
cannons 1
capture 1
captures 1
carries 3
carry 1
causes 1
changing 1
charming 3
chased 1
cheetah 1
chief 2
childbirth 1
cholera 1
circumstance 1
class 1
cobra 1
coincidence 1
coins 1
come 1
coming 1
commences 1
compact 1
comply 1
conceives 1
confesses 1
construction 1
contact 1
contained 1
convinces 1
copper 1
costly 1
course 1
covet 1
credit 1
crippling 1
crops 1
culture 1
curse 1
danger 1
dangerous 1
dass 4
de 1
deal 1
death 1
demonstrates 1
denies 1
departed 1
department 1
desertion 1
deserts 1
details 1
determines 1
devoted 1
did 1
die 3
dies 1
dine 1
direction 1
disguised 2
display 1
dissuade 1
distinguishes 1
divisions 1
do 1
does 1
dogs 1
down 1
drama 1
drapes 1
dream 1
dressed 1
drought 1
drunk 1
earns 1
eased 1
elephant 4
elephants 3
embroils 1
employed 1
employing 1
encounters 1
end 1
ending 1
enemies 1
enhances 1
entering 1
entertaining 1
epidemic 1
episode 1
episodes 1
escape 1
escaping 1
especially 1
evening 2
eventually 1
exchange 1
expedition 1
expose 1
extend 1
extensive 1
fail 1
failing 1
fails 1
fakir 2
falls 1
family 4
farm 1
farmer 1
father 2
feat 1
ferocious 1
feroze 7
few 1
fides 1
fields 2
fill 1
fills 1
finally 1
fine 1
first 2
flee 1
flees 1
following 1
follows 1
food 2
for 17
forbidden 1
force 1
forced 1
forces 1
ford 1
formerly 1
fortune 1
friends 2
from 7
frustration 1
gathers 1
gill 3
gives 1
glory 1
goes 1
gold 6
government 1
grandeur 1
grandfather 2
grateful 1
gratitude 1
grievance 1
group 1
grows 1
had 1
haiderabad 2
happy 1
hard 1
has 4
hathitongue 1
have 3
having 1
he 30
help 1
her 5
here 2
hide 1
him 4
himself 2
hires 1
his 47
horse 1
house 3
houseservants 1
howdah 1
hunt 4
hunting 1
hussein 45
if 1
ignorant 1
impediment 1
in 41
indian 1
influenced 1
information 1
informs 1
inherits 1
injured 1
insists 1
instead 1
intelligence 1
into 5
intrigue 2
involves 2
is 22
islamic 1
it 2
jehangir 14
jobs 1
justice 1
kadir 3
kappilavatthu 2
kapplilavatthu 1
kathiawar 2
keeper 2
khan 7
kill 1
kindly 1
laghat 2
language 1
latin 1
latter 1
lawyer 1
lead 1
leaders 1
leads 1
learned 1
learns 3
leave 2
leaves 1
leaving 1
leopard 2
lessons 1
lies 1
life 1
lifts 1
line 1
