15600794
/m/03mh2fn
/m/03mh2fn
Zane Grey
1928
a 5
about 1
also 1
amidst 1
an 1
and 3
arizona 3
as 1
away 1
beautiful 1
ben 1
but 2
buys 1
can 1
cant 1
cattle 2
country 1
deal 1
deeper 1
end 1
escaped 1
everyone 1
family 1
fending 1
for 4
forlorn 1
from 1
gangs 1
having 1
he 4
health 1
hettie 1
his 7
horde 1
horses 1
ide 2
in 2
is 1
keep 1
known 1
labyrinthine 1
leads 1
life 3
meanwhile 1
missing 2
mother 1
moves 1
network 2
nevada 3
no 1
not 1
of 7
off 1
one 1
only 1
ostensibly 1
out 1
outlaw 1
partner 1
pines 1
prize 1
ranch 1
rancher 1
restless 1
resumes 1
river 1
rustler 1
rustlers 1
rustling 1
say 1
search 1
seeking 1
situation 1
social 1
soon 1
sours 1
struggles 1
suitors 1
sure 1
territory 1
the 9
to 3
trust 1
way 2
which 1
who 3
wild 1
will 1
with 2
working 1
