7155567
/m/0h765n
/m/0h765n
Eleanor Cameron
1956
a 6
about 2
act 1
all 1
almost 1
ambitious 1
an 1
ancestral 1
and 11
annoys 1
around 1
arrives 1
arrogance 1
as 4
assistant 2
astronomers 1
away 1
bass 2
be 1
been 1
beliefs 1
bit 1
book 4
boys 3
by 2
ca 1
causing 1
chuck 1
come 1
comes 1
coming 1
committing 1
cousin 1
david 1
decides 1
earlier 1
end 1
ends 2
equilibrium 1
everyone 1
exploited 1
explored 1
finds 1
first 1
for 3
from 1
general 1
gets 1
give 2
glory 1
going 1
good 1
grove 2
had 1
has 1
he 4
him 1
himself 1
his 5
home 1
horatio 2
however 1
in 1
insists 1
inviting 1
involved 1
is 4
killed 1
knows 1
last 1
learns 1
lecture 2
lesson 1
letter 2
lost 1
many 1
more 1
mr 1
much 1
mushroom 4
must 1
nearby 1
next 1
of 6
on 1
one 1
opens 1
out 1
overall 1
own 1
pacific 2
peabody 4
personal 1
planet 4
professor 2
quite 1
rebuild 1
received 1
return 1
returns 1
sacrilege 1
scares 1
science 1
scientific 1
situation 1
society 1
spaceship 1
story 1
stowaway 1
than 1
that 2
the 22
their 1
theo 1
there 1
this 1
to 10
topical 1
traveller 1
trouble 1
two 1
tyco 1
university 1
until 1
up 2
visiting 1
was 1
well 1
what 1
when 1
while 1
who 1
with 1
world 1
written 1
years 1
young 3
