7138728
/m/0h67_q
/m/0h67_q
Allen Drury
1968
{"/m/02xlf": "Fiction"}
a 2
abbott 1
after 1
and 4
appears 1
as 1
at 1
between 1
but 1
california 1
candidates 1
capable 1
committee 1
conclusion 1
convenes 1
crash 1
defeats 1
dies 1
elevated 1
eventually 1
fire 1
former 1
governor 1
gunman 1
harley 1
his 2
honor 1
house 1
hudson 1
illinois 1
immediately 1
in 2
is 1
its 1
jason 3
knox 2
majority 1
names 1
national 1
newlyelected 1
nomination 1
nominee 1
novel 1
of 6
on 1
opens 1
orrin 1
party 2
plane 1
presidency 1
president 1
presidential 1
reluctantly 1
secretary 1
senator 1
speaker 1
state 1
supporters 1
suspicious 1
ted 1
the 8
their 1
those 1
to 1
torn 1
two 1
us 1
vice 1
william 1
winning 1
wives 1
