2473124
/m/07ggls
/m/07ggls
Melanie Rawn
1990
728 1
a 6
ablaze 1
about 1
accepts 1
act 1
ago 1
aid 1
allows 1
also 1
amass 1
an 1
and 13
andry 3
angry 1
are 1
army 1
as 4
at 1
attacked 1
attackers 1
attention 1
azhdeen 1
back 1
banishment 1
based 1
battle 2
be 3
become 1
becomes 1
been 2
before 2
begins 3
being 1
birth 1
birthplace 1
bonds 1
bore 1
business 1
but 3
by 2
can 1
challenge 6
challenges 1
chamber 1
chiana 3
claim 1
close 1
comes 2
cunaxa 1
daughter 1
death 2
desert 2
despite 1
destruction 1
diarmadhi 1
dragon 3
dragons 1
during 1
dying 1
elktrap 1
ending 1
enlists 1
enough 1
ensnare 1
enspell 1
ensues 1
enter 1
entourage 1
fall 1
feruche 2
finally 1
find 1
findings 1
first 1
follows 1
for 5
forms 1
found 1
from 2
get 1
gets 1
goddess 2
guards 1
had 4
has 1
he 10
her 1
hide 1
high 2
him 2
himself 1
his 8
horrified 1
however 1
hunted 1
ianthe 2
illegitimate 1
impatient 1
in 6
infiltrates 1
invade 1
is 3
it 3
its 1
keep 2
killed 1
kills 2
knowledge 2
learning 1
lord 2
made 1
make 2
man 1
manor 1
marron 7
meadowlord 1
meanwhile 1
meet 1
meiglan 3
men 1
mireva 2
mirror 1
miyon 3
moments 1
mourns 1
nearby 1
needs 1
new 2
now 1
of 13
oldest 1
on 5
one 1
only 1
overthrowing 1
parents 1
part 2
personal 1
pol 12
prepared 1
prepares 1
prevent 1
prince 5
princemarch 4
princess 2
proud 1
pull 1
rabikor 1
radzyn 1
raised 1
ready 1
realizes 1
restless 1
results 1
retribution 1
reworks 1
rialla 1
right 1
rituals 1
rivernrock 1
riyan 2
rohan 2
ruling 1
ruval 9
scroll 2
scrolls 1
seeks 1
sees 1
servant 1
shows 1
sioned 1
sky 1
son 1
sorcerer 1
sorcerers 1
sorcery 5
sorin 3
spell 1
spirit 1
star 2
starlight 1
stronghold 1
study 1
sunrunners 1
suspicions 1
teachings 1
that 5
the 24
their 1
them 1
themselves 1
then 1
they 1
this 1
threat 1
to 16
told 1
towers 1
trains 1
travels 1
tries 1
true 1
truth 1
trying 1
turns 1
two 1
undisputed 1
unknowingly 1
used 1
uses 1
using 2
visions 2
war 1
was 1
were 1
when 3
which 1
while 2
who 3
will 2
with 2
word 1
would 1
year 1
