3311547
/m/094yjk
/m/094yjk
Richard Powers
2000-06
a 11
able 1
about 1
acquerelli 1
adie 2
after 1
ambiguous 1
an 3
analyzing 1
and 7
another 1
are 2
artist 1
at 1
attempting 1
author 1
be 1
because 1
being 1
book 1
built 1
but 2
by 3
called 1
can 1
captors 1
cavern 1
characters 1
child 1
civilization 1
code 1
communicate 1
completely 1
computer 1
connect 1
contact 1
create 1
creating 1
destruction 1
does 1
econometrician 1
end 2
ends 1
engineerturnedpoetturnedprogrammer 1
escape 1
events 1
exchanges 1
experience 1
explores 1
five 1
for 1
girlfriend 1
gone 1
great 1
gwen 1
happen 1
has 4
he 7
herself 1
his 6
hopes 1
immersing 1
in 4
inside 1
interlude 1
is 3
jack 1
jackdaw 1
klarpol 1
laboratory 1
life 2
little 1
longer 1
machine 1
main 1
martin 1
military 1
morse 1
most 1
much 1
narrative 1
near 2
nearby 1
no 1
occasionally 1
of 5
one 1
oreilly 1
original 1
outcome 1
outside 1
possibilities 1
predict 1
prisoner 1
prisoners 1
programming 1
rather 1
reads 1
reality 1
realization 1
realizes 1
rebuilding 1
reconcile 1
recreate 1
recreates 1
relationship 1
released 1
replaying 1
resumes 1
ronan 1
room 4
second 1
she 1
short 1
single 1
spends 2
spiegel 1
stevie 1
story 1
strands 1
taimur 1
tapped 1
technology 1
that 1
the 15
they 2
thinking 1
threewalled 1
time 2
to 4
trapped 1
two 1
ultimately 1
up 1
used 1
using 1
virtual 1
war 1
way 1
what 1
when 1
which 1
while 1
who 2
wife 1
will 1
with 4
wizard 1
words 1
work 1
workers 1
world 2
years 1
young 1
