1879152
/m/06366m
/m/06366m
Dare Wright
1957
a 4
alone 1
and 4
appear 1
assures 1
bear 8
bears 1
both 1
by 1
called 1
closet 1
clothing 1
day 1
discipline 1
doll 2
dressup 1
edith 3
ever 1
find 1
for 2
goes 1
have 1
he 3
her 3
herself 1
house 1
in 4
is 1
just 1
leave 2
leaving 2
life 1
lipstick 1
little 3
lives 1
lonely 1
makeup 1
mirror 1
mr 5
named 1
never 1
of 1
old 1
on 1
one 1
out 1
proceeds 1
returns 1
rummaged 1
silly 1
smeared 1
story 1
take 1
teddy 1
tells 1
that 2
the 5
themselves 1
they 1
thing 1
to 3
two 2
until 1
walk 1
who 1
will 2
with 1
worry 1
written 1
