2520775
/m/07kmld
/m/07kmld
Brandon Thomas


a 17
able 1
about 3
accept 1
accepting 2
acted 1
addressed 1
admits 2
adopted 1
affection 2
again 1
age 1
ago 1
agrees 1
all 2
alone 1
also 3
although 1
amateur 1
amy 9
an 6
and 33
angered 1
anguish 1
annoyed 1
annoys 1
another 1
any 1
appearance 1
are 7
arrive 1
arrived 1
arrives 2
arriving 1
as 8
at 4
attempt 1
attractive 1
aunt 5
away 1
babberly 3
babbs 20
be 4
been 2
before 5
being 3
bengal 1
beverlysmythe 1
boys 7
brazil 1
breaks 1
but 5
by 6
called 1
calm 1
can 5
cards 1
cared 1
carlo 2
caught 1
celebrated 1
champagne 1
chaperone 1
charley 14
charming 1
chesney 2
clear 1
college 1
colonel 2
coming 2
confess 1
confesses 1
confirms 1
consent 5
corners 1
costume 2
could 1
couples 1
dalvadorez 3
daughter 1
days 2
deal 1
debts 2
decided 1
decides 1
decision 1
declarations 1
declare 1
delahay 1
delahey 1
delivered 1
discover 1
discovers 1
dispute 1
distract 1
do 1
does 2
donna 27
down 2
dressed 1
during 1
dying 1
ela 9
embarrasses 1
engaged 1
english 1
enlist 1
enough 1
enters 2
entire 1
escape 1
everyone 1
fake 1
family 2
fancourt 3
father 7
feelings 1
fell 1
felt 1
few 1
finally 1
finds 1
flirtations 1
fond 1
fool 1
for 13
former 1
fortunately 1
fortunes 1
francis 9
frank 1
from 5
gently 1
get 2
girl 2
girls 9
gives 1
giving 1
go 2
going 1
great 1
greedy 1
grounds 1
guardian 1
had 4
happens 1
has 5
have 2
he 24
heart 1
her 14
herself 3
hesitant 1
him 12
his 13
holds 1
horrified 1
house 1
how 2
however 5
identity 1
if 1
impersonating 1
in 14
including 1
independent 1
india 2
informs 1
inherit 1
inherited 1
instead 1
intended 1
intending 1
intercept 1
into 3
introduce 2
introduces 1
investigate 1
invite 1
invites 1
is 14
it 1
jack 17
keep 1
kisses 1
kitty 9
known 1
knows 1
lady 1
learns 1
leave 2
left 2
let 1
letter 5
lie 1
life 1
like 1
liking 1
little 1
longer 1
longs 1
look 1
lord 2
losing 1
lot 1
love 6
loves 3
lucia 27
lunch 3
lunching 1
made 1
make 2
makes 1
making 1
man 2
marriage 2
marriages 1
marries 1
marry 4
meanwhile 1
meet 4
met 3
middle 1
millionaire 2
miss 1
money 5
monte 2
mrs 1
name 1
named 1
need 1
never 2
niece 1
no 1
not 4
now 1
of 19
off 1
officer 1
old 1
olde 1
on 1
once 1
one 1
order 1
orders 2
orphan 1
out 5
outside 1
over 1
own 1
oxford 2
panic 1
part 2
party 1
penniless 2
permission 1
persuade 1
play 1
playing 1
politics 1
position 1
pours 1
private 1
proposal 1
propose 2
purely 1
railway 1
raise 1
real 5
realized 1
really 2
reassures 1
receives 3
recognizes 1
recognizing 1
recounts 1
rekindle 1
relief 1
remember 1
respectively 1
respond 1
retrieves 1
return 1
returns 1
reveals 2
rich 1
romance 1
room 3
rooms 1
same 1
saying 1
scotland 1
see 1
seek 1
sent 1
served 1
she 10
shopping 1
should 1
showing 1
shy 1
similarly 1
sir 9
so 4
someone 1
soon 3
sounds 1
specified 1
spends 1
spettigue 15
st 1
stating 1
station 1
stay 3
steal 1
stephen 1
still 2
storms 1
story 1
strange 1
suggests 1
suit 1
suspicions 1
takes 3
taking 1
talk 2
telegram 1
tell 1
telling 1
tells 1
that 18
the 49
their 7
they 7
threatening 1
time 1
to 57
too 1
tricks 1
tries 2
try 2
trying 1
turns 1
twenty 1
two 1
unchanged 1
uncle 1
undergraduate 1
undergraduates 1
unexpected 1
university 1
until 1
up 1
upset 2
urgently 1
uses 1
verdun 1
violence 1
visit 2
voice 1
wait 1
wants 1
was 2
way 1
which 3
while 2
who 7
whom 4
widow 3
will 2
wiped 1
with 7
without 4
woman 1
won 1
wont 2
woo 1
word 1
would 1
wyckeham 1
years 1
yet 1
young 1
