862444
/m/03jc74
/m/03jc74
Neil Gaiman
1999
{"/m/0l67h": "Novella"}
a 15
abandoning 1
abel 1
abuse 1
advice 2
affluent 1
aforementioned 1
after 2
again 1
all 1
alleviate 1
allows 1
ambiguous 1
an 7
and 27
any 1
apologizes 1
appear 1
are 1
arrives 1
as 3
at 3
attempt 1
audience 1
authenticity 1
avert 1
awakening 1
awakens 1
baku 1
be 1
beautiful 1
because 1
become 1
been 1
behavior 1
bet 1
binzuru 1
bites 1
black 1
body 1
both 1
buddha 2
buddhist 1
burns 1
but 5
by 3
cain 1
cajoles 1
cannot 1
capture 1
cause 1
claim 1
comics 1
condition 1
consults 1
consumed 1
continuously 1
contradictory 1
conversation 1
counterparts 1
days 1
demons 1
departed 1
dies 2
disgrace 1
disrobing 1
distraught 1
does 1
dog 2
done 1
down 2
dream 1
dreaming 3
dreams 2
drives 1
during 1
edge 1
efforts 1
either 1
employed 1
encounters 2
ends 1
enormous 1
ensuing 1
events 2
everyone 1
extra 1
eyes 1
fail 1
fallen 1
family 1
farewells 1
fear 2
fiddler 1
field 1
find 2
flees 1
for 2
form 4
formal 1
forms 1
formulates 1
fox 12
from 3
gaiman 1
give 2
gives 1
giving 3
goes 1
granted 1
green 1
guides 1
had 2
hags 2
harada 1
has 1
have 3
he 13
her 13
him 11
his 9
house 2
how 1
however 1
human 2
if 1
immensely 1
implying 1
important 1
in 15
indication 1
informs 1
initially 1
inside 2
insists 3
instructions 1
instructs 1
into 1
involved 1
is 10
it 5
japanese 1
journey 1
killing 1
king 1
kitsune 1
kyoto 1
later 1
layer 1
learned 1
leaves 1
leaving 1
lesson 1
listens 1
living 1
love 2
lust 1
maddened 1
madness 1
make 2
may 1
means 1
meanwhile 1
meet 1
meets 2
mirror 1
monk 8
more 1
morpheus 6
nameless 1
narration 1
narrative 1
nature 1
night 2
no 1
not 2
of 20
offers 1
on 3
one 1
onmyji 1
onmyoji 2
or 1
out 2
overhears 1
own 1
palace 1
particularly 1
people 1
physical 1
place 2
plan 2
played 1
plight 1
poet 1
ponder 1
position 1
possibly 1
power 1
priest 1
provided 1
raccoon 2
raven 2
realm 1
referred 1
reluctant 1
rescues 1
result 1
revenge 2
reverts 1
rich 1
sandman 1
satisfied 1
saying 1
seduces 1
seek 2
seeking 1
servants 1
several 2
shape 1
she 9
should 1
significance 1
since 1
sleep 1
so 1
some 1
spirit 1
statement 1
stay 1
story 2
successful 1
take 1
takes 1
tanuki 1
tells 2
temple 4
that 11
the 47
their 3
them 3
then 7
there 1
they 4
third 1
this 4
three 1
through 3
to 13
together 1
touch 1
town 1
tracks 1
trapped 2
travels 1
trouble 1
true 2
until 1
use 1
vain 1
versions 1
walking 1
way 1
what 2
where 2
whether 1
which 1
whichever 1
who 2
will 5
with 4
woman 1
