4543339
/m/0c80ss
/m/0c80ss
Virginia DeMarce

{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/01tz3c": "Anthology", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1631 1
1633 1
1634 1
1634giving 1
300 1
a 25
ableidinger 1
about 2
above 1
accept 1
act 2
adapted 1
additional 1
administer 1
after 3
agree 1
aimed 1
alien 1
all 4
along 1
also 3
although 1
american 1
americans 2
among 1
an 3
and 31
angora 1
another 1
any 1
appear 1
appreciation 1
arable 1
are 6
armies 1
around 1
as 11
at 1
august 1
authoritarians 1
avoiding 1
away 1
back 1
ballet 1
be 1
became 1
become 1
becomes 1
been 1
before 1
begin 1
begins 1
behind 1
between 1
birdie 5
bloodbath 1
book 3
books 2
both 1
bought 1
breeding 1
briefing 1
brillo 4
broadsheet 1
buy 2
by 6
c 1
canonical 1
cant 1
carrot 1
century 1
certain 1
chairman 1
changes 1
children 1
chord 1
civil 1
claimants 1
claimantsdepending 1
cofarmers 1
comes 1
committee 1
common 1
complications 1
concentrating 1
concerning 1
concerns 1
concludes 1
consequently 1
constantin 1
continent 1
control 1
cooperatively 1
counteract 1
covered 1
dance 1
dangle 1
daughter 1
days 2
dealt 1
deft 1
delaine 1
different 1
diplomacy 1
diplomatic 1
disapprove 1
discussions 1
dissent 1
diverse 1
do 1
down 1
downtime 2
due 1
earlier 1
east 1
effect 1
efforts 1
elected 1
emblem 1
emergency 1
empire 1
entitlements 1
era 1
escaped 1
european 1
even 1
events 2
example 1
explore 1
extent 1
f 1
fables 1
fact 1
fall 1
fame 1
family 1
farm 3
farmed 1
farmer 3
farmers 1
farming 1
few 3
field 1
fight 1
finances 1
finds 1
finished 1
fire 4
flashback 1
flint 2
flo 3
flock 1
focused 1
footprint 1
for 4
four 2
fourthough 1
fractured 1
franconia 5
french 1
from 6
fundamental 1
future 1
gain 1
general 1
generally 1
generations 1
germans 1
germany 3
get 2
getting 1
given 1
gives 2
go 1
goes 1
goodlett 1
gorg 1
governments 1
grantville 2
greater 1
groups 1
grown 1
had 2
handle 1
has 7
have 6
he 6
head 2
headed 1
heartland 1
help 1
her 5
his 3
history 3
holy 1
hope 1
hopes 1
huff 1
husband 1
ideals 1
immediate 1
immediately 1
in 25
include 1
individuals 1
instead 1
intensive 1
interest 1
interesting 1
interfered 1
international 1
into 2
irresistible 1
is 5
it 2
its 2
jan 1
jd 1
jen 1
johnny 1
just 2
know 1
known 1
labour 1
laments 1
land 5
landholding 1
lands 1
largest 1
larkin 1
late 1
lawyers 2
league 1
leases 1
left 1
lesser 1
levels 1
liberate 1
likely 1
livestock 1
living 1
local 4
locally 1
loss 1
machiavellian 1
made 1
mailey 2
maneuvers 1
many 1
matter 1
mayjune 1
melissa 1
merino 2
mike 2
mitigate 1
monetary 2
more 2
most 1
movement 1
murphy 1
narrowly 1
neglects 1
neohistorical 2
new 3
newhouse 2
noelle 1
not 1
notes 1
novel 1
now 2
number 2
obligations 2
obtained 1
occupants 1
october 1
of 35
off 2
on 4
once 1
one 1
operation 1
or 2
original 1
other 2
others 2
out 2
over 1
overlaps 1
owner 1
ownership 1
paine 1
paradise 1
partners 1
path 1
paula 1
peasant 1
pen 1
people 2
piece 1
place 1
politics 1
poor 1
population 1
practices 1
present 1
prevent 1
problem 2
problems 1
program 1
quality 1
rabbits 1
ram 6
rare 1
reading 1
reason 1
rebellion 4
refer 1
related 1
rent 1
rents 1
resolutely 1
resources 1
rest 1
result 2
revolt 1
revolution 1
revolutionary 1
richards 1
right 1
rights 1
ring 4
ro1634 1
roman 1
run 1
sales 1
sandwiched 1
say 1
school 1
schoolchildren 1
schoolteacher 2
see 1
seeks 1
sense 1
sent 1
serfdom 1
serfs 1
servants 1
set 4
setting 1
seventeenth 1
several 1
she 1
shed 2
sheep 1
short 1
shorter 1
sing 1
small 1
some 3
someone 1
songs 1
sorts 2
south 1
spacetime 1
spotcovers 1
spread 1
started 1
stearns 4
stories 5
story 1
strike 1
studies 1
subsequently 1
succeed 1
take 1
tales 2
tenants 2
terms 1
that 7
the 72
them 2
themselvesbut 1
there 1
these 1
thick 1
this 2
thomas 1
those 1
threatened 1
three 4
through 1
thuringia 2
time 1
titular 1
to 23
town 1
transaction 1
troubles 1
tutelage 1
two 4
type 1
under 1
upon 1
uptime 1
uptimers 1
usa 1
uses 1
usually 2
various 2
very 1
vested 1
vignettes 1
villages 1
voters 1
want 1
wars 1
was 1
way 1
weeks 1
what 1
when 1
which 5
while 2
who 2
wife 1
will 1
with 9
women 1
wool 1
work 2
works 2
worse 1
years 2
youngest 1
