9757897
/m/02pr8dz
/m/02pr8dz
Steven Hall
2007
a 28
aames 1
able 1
aboard 1
actually 1
after 2
all 1
and 15
are 1
as 5
at 2
attacked 1
attempts 1
awakes 1
be 2
becomes 1
before 2
beginning 1
bit 1
boat 4
body 3
book 2
both 1
britain 1
british 1
but 5
by 4
called 1
cat 1
chance 1
choosing 1
claims 1
climactic 1
climax 1
clio 4
clipping 1
close 1
clues 1
committee 4
conceptual 8
condition 1
contacted 1
control 1
creature 1
cutting 1
dangerous 1
database 1
death 2
decides 1
declines 1
destroy 1
destroying 1
develop 1
devoured 1
died 1
discovery 1
dissociative 1
doctor 1
dr 1
during 1
encounter 2
ends 1
eric 19
escape 1
even 1
explain 1
explaining 1
exploration 4
fact 1
far 1
fidorous 4
figure 1
find 1
finds 1
first 3
fish 2
fishon 1
found 1
from 5
fugue 1
girlfriend 2
given 1
go 1
greece 1
greek 1
happening 1
happy 1
has 4
have 1
he 9
help 1
her 2
him 4
himself 1
his 13
holidayed 1
home 1
hooked 1
hope 1
hotel 1
house 1
however 2
hunt 1
ian 1
in 12
intelligence 2
intentional 1
internetbased 1
into 2
is 18
island 2
it 3
journey 1
just 1
killed 1
known 2
laptop 1
large 1
larger 1
late 1
leads 1
left 1
letters 1
life 2
loses 1
losing 1
lost 2
ludovician 8
ludovicianthe 1
man 1
manages 1
may 1
meets 1
member 2
memories 3
memory 1
mentions 1
more 1
most 1
mouth 1
mr 2
mycroft 3
mysterious 1
named 2
never 1
newspaper 2
next 1
nobody 2
not 2
now 1
number 1
ocean 1
of 22
on 3
once 1
one 1
order 1
orpheus 1
other 1
out 2
page 1
part 2
place 1
plan 1
point 1
postcard 3
preserve 2
prior 1
psychologist 1
pursues 1
rainstorm 1
randle 1
real 1
reconciled 1
relationship 2
release 1
remain 1
reporting 1
resembles 1
return 2
returns 1
revealed 1
rig 1
romantic 1
sanderson 6
scout 8
sea 1
search 3
second 1
seemingly 1
sent 1
sharkhunting 1
she 2
showing 1
shown 1
sinking 1
small 1
smaller 1
soon 1
sought 1
stating 1
staying 1
still 1
strongly 1
subdue 1
succeeded 1
such 1
suggested 1
swim 1
takes 1
that 8
the 41
their 1
then 1
they 3
things 1
this 2
through 2
throughout 1
thrown 1
to 19
together 1
told 1
travels 1
trey 3
truly 1
turbulent 1
turns 1
twenties 1
ultimately 1
unharmed 1
unhurt 1
unspace 6
until 1
up 2
venturing 1
via 1
ward 4
was 5
what 1
when 2
which 3
who 3
will 1
with 9
within 1
working 1
world 2
