37713
/m/09dlq
/m/09dlq
William Shakespeare

6000 1
a 27
abuse 1
accept 1
accepting 1
accompanies 1
accompany 1
accuse 1
actually 2
adamantly 1
advises 1
advising 1
after 5
agrees 2
alien 1
all 4
allows 1
already 1
also 3
amends 1
amount 3
an 1
and 38
antijudaism 1
antonio 27
any 2
approaches 1
are 3
arragon 1
as 16
asked 2
asks 2
at 12
attempted 1
awash 1
bailed 1
balthazar 3
baseness 1
bassanio 18
be 3
bearing 1
beautiful 1
because 2
been 1
before 3
bellario 2
belmont 6
bequeathing 1
blesseth 1
blest 1
blood 2
bond 6
borrow 1
both 1
brought 1
busy 1
but 9
by 2
can 1
case 2
cashpoor 1
casket 5
caskets 1
characters 1
choice 1
choose 1
chooses 2
chooseth 3
choses 1
christian 1
christianity 1
christians 1
cites 1
citing 1
citizen 1
clerk 3
climax 1
comes 1
companion 1
compensations 1
concedes 1
conceited 1
condition 3
confiscate 1
contract 3
converting 1
correctly 1
counsel 1
court 4
cousin 1
cover 1
customary 1
cut 1
damning 1
date 1
daughter 1
death 1
declines 1
defaulted 1
defeated 1
demands 1
deserves 1
desire 1
determined 1
diest 1
disguise 4
disguised 1
disregard 1
do 2
doctor 2
does 3
doing 1
drop 1
ducats 2
duke 6
each 2
earlier 1
eloped 1
emptyhanded 1
engendred 1
entire 1
estate 2
estimation 1
even 1
exact 1
exercise 1
expenditures 1
eyes 1
famous 1
fancy 1
father 1
fed 1
finally 1
find 1
first 4
fled 1
flesh 5
flippant 1
for 8
forfeited 2
forfeiture 1
friend 2
from 11
full 1
further 1
gain 1
gazing 1
generosity 1
generous 1
get 1
gets 1
gift 1
give 3
given 1
gives 2
gloves 2
gold 2
goods 2
government 1
grants 2
gratiano 6
ground 1
guarantor 1
had 1
hair 1
half 3
hand 3
handmaid 1
has 8
hates 1
hath 1
have 1
having 4
hazard 1
he 15
heiress 1
her 7
him 12
himself 2
his 25
home 1
household 1
however 1
husbands 1
if 5
imagining 1
immediately 1
in 12
income 1
insists 2
interest 3
interpreting 1
introduces 1
is 15
it 4
its 3
ivi 1
ivi185 1
jessica 3
jew 1
jewish 1
kind 1
knife 1
lands 1
last 1
late 1
law 3
laws 1
lawyer 5
lead 3
leah 1
learned 1
learns 1
leave 3
leaves 2
leaving 1
left 1
lend 2
lender 1
less 1
letter 2
life 4
likeable 1
likewise 1
loan 3
lorenzo 3
lose 1
lost 1
love 1
luxurious 1
make 1
male 1
man 1
many 1
marry 1
material 1
may 1
me 3
meanwhile 1
members 1
men 1
merchandise 1
merchant 1
mercy 3
merely 1
merit 1
met 1
money 5
moneylender 2
more 2
morocco 1
much 2
must 3
names 1
nature 1
needed 1
nerissa 4
never 1
no 3
noble 1
not 6
nullify 1
of 37
offer 3
offering 1
offers 1
often 1
on 3
one 3
only 3
open 1
or 2
ornament 1
other 1
out 2
outward 1
overly 1
padua 1
pardons 1
parts 1
pay 1
person 1
persuasion 1
picks 1
play 2
points 1
ponders 1
portia 21
pound 4
precisely 1
prepares 1
present 1
pretend 1
prevents 1
previously 1
prince 2
principal 3
proclaims 1
promised 1
promises 1
prompting 1
property 1
quibble 1
rank 1
really 1
rebuffs 1
receives 1
recognise 1
recommendation 1
referring 1
refers 1
refusal 1
refused 1
refuses 2
rejected 1
reluctant 1
remission 1
remove 1
repay 1
repeatedly 2
reported 1
request 1
requests 1
reserving 1
retrieving 1
return 1
returned 1
revealing 1
revenge 1
right 1
ring 4
risky 1
safely 1
satisfy 1
save 2
says 1
scale 1
sea 2
second 2
see 2
seek 1
sees 1
selfcontrol 1
sell 1
sent 1
servant 1
shall 2
share 1
she 4
shed 1
ships 3
show 1
shows 1
shylock 21
signs 1
silver 2
since 1
sing 1
slogan 2
so 1
song 1
specified 1
speech 1
squandered 1
state 1
stipulating 1
stranded 1
subsidise 1
substantial 1
succeed 1
succeeds 1
such 1
suffered 1
suitor 4
suitors 3
sum 1
supposed 1
surprised 1
tactless 1
take 3
taken 1
takes 1
taking 2
talkative 1
taunt 1
telling 2
tells 1
that 12
the 69
their 1
then 3
therefore 1
they 1
this 1
thou 1
thought 1
thousand 1
three 3
thrice 1
through 1
thus 1
thy 1
to 42
true 1
turn 1
turns 1
turquoise 1
twice 2
two 1
unable 4
under 2
uninviting 1
unknown 1
until 1
upon 1
usance 1
use 1
v 1
venetian 2
venice 4
visitor 1
want 1
warns 1
was 1
wealth 1
wealthy 2
well 1
were 3
what 2
when 1
which 6
while 1
who 9
whom 1
wife 3
will 2
winning 1
wishes 2
wishing 1
with 9
without 2
woo 1
would 1
young 3
