18132988
/m/04cw816
/m/04cw816
Pam Muñoz Ryan
2005-10-01
{"/m/0dwly": "Children's literature"}
a 37
abandonment 2
about 7
abusive 1
accident 1
accompanied 1
account 1
acres 1
across 2
adds 1
after 18
again 3
air 1
alcoholic 2
all 3
allow 1
along 2
also 6
always 4
american 3
americanhalf 1
an 3
and 116
anger 1
angers 3
angry 1
anything 2
anywhere 1
apart 1
apartment 1
appearance 2
are 5
arguments 1
arrival 2
arrive 1
arriving 1
as 15
ask 1
asking 1
asks 1
at 9
atascadero 1
attached 1
avacado 1
away 2
baby 3
babysitter 1
back 7
bad 3
be 8
became 1
because 11
becomes 2
becoming 1
been 3
beer 3
before 6
beginning 1
being 3
believe 1
believing 2
belong 1
belonged 1
beluga 2
bernardo 1
bird 1
blanca 7
blem 1
boat 1
both 2
boyfriend 1
brave 1
bride 1
business 2
but 14
buying 1
by 6
california 3
came 4
can 1
car 2
care 1
carve 2
carving 1
carvings 1
cat 1
catch 1
caused 1
causing 1
changed 1
changes 1
changing 1
checkers 1
checkup 1
children 3
church 2
city 1
claim 2
claws 1
clive 10
clothes 1
come 5
comes 1
coming 2
competition 3
conference 1
conferences 1
confused 2
confuses 1
confusion 1
consumed 1
could 4
couldnt 2
courage 1
court 5
craver 1
cravings 1
daughter 2
day 7
days 3
deal 1
decided 1
deformed 3
deformities 2
desire 1
despair 1
despite 2
destroyed 1
determined 2
did 3
didnt 9
different 2
difficulty 1
divorce 1
do 1
doctor 2
doctors 2
doesnt 3
dont 2
downcast 1
dreams 1
drink 2
drinking 1
due 1
during 2
earth 1
eight 1
eleven 1
elizabeth 1
else 1
end 2
enough 1
enrolled 1
epilogue 2
escondido 1
especially 2
even 4
every 1
everything 2
exceptional 1
explained 1
explaining 1
fabiola 3
face 1
family 1
father 8
feared 1
fears 1
few 2
fight 1
finally 1
find 5
fisherman 1
fishing 1
flk 1
floating 1
follows 1
for 20
forcing 1
fortitude 1
found 4
four 1
friend 2
friends 1
frightening 1
from 7
front 1
full 2
funniest 1
funny 1
furious 1
gambling 1
game 1
games 1
get 5
gets 1
getting 1
go 7
goes 2
going 6
gone 1
good 2
got 3
gown 1
graciela 1
gram 34
grandmother 2
grants 1
greatgrandmother 1
greatly 1
group 1
guardianship 2
had 7
half 1
handle 1
hands 1
happen 1
happened 1
happens 1
happy 2
harm 1
has 5
have 7
having 2
he 17
heart 1
help 1
her 79
herself 4
hiding 1
him 11
his 12
hit 1
holiday 1
horrified 1
hospital 1
however 6
hurricane 1
hurt 1
husband 1
if 11
ignored 1
imagine 1
imagined 1
immediately 1
in 30
incidents 1
increasingly 1
information 1
informed 1
informs 1
infuriated 1
insult 1
insulting 1
is 16
it 9
job 3
jones 1
journey 1
joyful 1
