2831217
/m/085h8h
/m/085h8h
Graham Edwards
1995-02
a 6
aftermath 1
all 2
allout 1
along 1
ambition 1
an 1
ancient 1
and 5
are 2
armies 1
as 1
at 2
back 1
band 1
basilisk 1
begins 1
beneath 1
between 2
both 3
brace 1
breach 1
build 1
by 2
called 1
centre 1
charm 2
charmed 4
circles 1
citadel 1
come 1
commander 1
companions 1
conflict 2
covamere 3
culminate 1
cumber 2
dark 1
departs 1
desperate 1
destruction 1
dragon 6
dragoncharm 1
dragons 4
dragonstorm 1
dying 1
encounter 1
ends 1
enigmatic 1
enters 1
even 1
everywhere 1
evolving 1
extinction 1
fabled 1
face 1
faces 2
facing 1
faeries 1
finally 1
fleeing 1
following 1
fortune 4
fray 1
from 2
giants 1
gossamer 1
greater 1
growing 2
he 1
home 1
humans 1
immortal 1
in 4
including 1
insane 1
inside 1
into 1
is 7
its 2
joins 1
journey 1
know 1
landscape 1
leading 1
learn 1
leaving 2
lie 1
lies 1
lives 1
magic 3
maze 2
military 1
moment 1
monster 1
named 1
natural 2
naturals 2
ocher 1
of 12
offered 1
on 2
others 1
past 1
picked 1
point 1
power 2
protohumans 1
quest 1
races 1
reach 1
scoff 1
secret 1
seed 2
seeking 1
settlement 1
shared 1
shatter 1
signs 1
south 1
species 2
stone 1
story 2
surviving 1
tempted 1
that 2
the 36
their 2
them 1
they 2
thread 1
threat 1
threatens 1
through 1
to 6
today 1
together 1
trolls 1
turning 2
two 3
ultimate 1
unite 1
up 1
velvet 1
very 2
wake 1
war 1
way 2
we 1
when 3
which 2
while 1
with 3
witness 1
world 4
wraith 3
young 1
