12163538
/m/02vry9y
/m/02vry9y
Daniel F. Galouye
1968
{"/m/06n90": "Science Fiction"}
17 1
180s 1
a 45
ability 1
able 2
aboard 3
about 4
accomplice 1
activate 1
activated 1
activating 1
admits 1
advent 1
afflicting 1
after 4
afterward 1
again 1
agents 1
alien 3
aliens 3
alive 1
all 1
almost 1
already 2
also 2
altitude 1
ambivalent 1
american 1
amounting 1
an 9
and 31
andelia 3
another 6
any 1
apparent 2
apparently 2
are 16
area 1
arrive 2
arrives 1
arthur 1
article 1
artificial 1
as 11
asleep 1
assailants 1
assassinate 1
assassination 1
assures 1
astonishingly 1
at 5
attack 2
attacked 2
attacker 1
attacks 1
attempt 1
attempted 1
avoiding 1
back 1
balanced 1
be 12
bear 1
bearing 1
because 1
been 4
begins 1
begun 1
being 1
beliefs 1
believe 1
besides 1
beyond 1
biological 1
blocking 1
blocks 1
boarding 1
body 2
brains 1
breaks 2
briefing 2
bringing 1
brother 2
build 1
building 1
bureau 1
but 8
by 16
called 4
calls 1
campaign 1
can 6
cannot 1
capsule 1
capture 1
captured 1
capturing 1
car 1
carnot 2
carry 1
castle 2
catatonic 1
caught 1
cement 1
center 1
chance 1
chandeen 1
chapter 1
check 1
children 1
city 1
civilization 1
claimed 1
claims 1
close 1
collecting 1
coming 2
commit 1
commodity 1
comparatively 1
confesses 1
confront 1
confronts 1
conquest 1
consists 1
conspiracy 1
conspirator 1
conspirators 1
construct 1
construction 1
control 1
convenient 1
convince 1
corpse 1
could 1
counted 1
cover 1
craft 3
created 1
crucial 1
cut 1
day 2
dead 1
deal 1
decapitate 1
definitely 1
demands 1
departure 1
depth 1
destination 1
detect 1
device 2
disabled 1
discovering 1
disease 1
distance 2
do 1
does 1
double 1
doubtful 1
down 4
drives 1
drugged 1
earth 5
effects 1
either 1
elaborate 1
elected 1
eliminated 1
emerge 1
emerged 1
end 1
endure 1
endures 1
engineer 1
england 1
enough 3
entire 1
escape 1
escapes 1
evade 1
even 2
eventually 1
everyone 1
evil 1
exchange 1
executes 1
existence 1
experience 1
exscreamers 2
farmer 1
farmhouse 1
fate 1
father 1
female 1
few 3
fiancee 1
field 4
final 2
finally 1
find 2
fingernails 1
first 2
flying 2
follows 1
for 15
foretold 1
form 2
forsythe 1
fortune 2
forward 1
fraction 1
free 1
friend 1
from 5
front 1
fry 1
full 1
gaining 1
galactic 1
gamble 1
