16709999
/m/0403whg
/m/0403whg
Gregory Benford

3 1
a 8
abilities 1
accessed 1
across 1
actually 1
adults 1
adversely 1
affects 1
after 1
aids 1
all 3
altering 1
and 10
are 7
as 4
avoid 1
be 4
been 1
begin 1
beginnings 1
better 1
biological 1
bishop 2
bishops 3
bodily 1
book 1
by 2
can 2
carry 1
center 2
chess 1
chimpanzee 2
civilization 2
civilizations 1
clans 1
climate 1
colonists 1
conflict 1
conflicts 1
constant 1
cybernetic 1
dangerous 1
dead 1
defeated 1
described 1
describes 2
destroying 1
diamond 1
distractions 1
drive 1
drying 1
during 1
earth 1
enhance 1
equipped 1
events 1
evolved 1
exist 1
existence 1
families 3
family 3
fear 1
fight 1
for 4
fourth 1
from 2
functions 1
future 1
galactic 1
great 2
groups 1
has 1
have 4
having 1
height 1
however 1
human 1
humans 3
implanted 1
implants 1
in 8
interested 1
into 1
invaded 1
is 3
it 2
its 1
jared 1
killeen 1
leader 1
leftover 1
like 1
long 1
machines 1
may 1
meaning 1
mech 1
mechanical 1
mechs 9
members 1
memory 1
meters 1
migrating 1
more 1
named 1
near 1
neck 1
novel 1
novels 1
number 1
of 20
off 1
on 4
one 1
or 2
other 2
otherwise 1
out 1
over 1
perceptions 1
period 1
periods 1
personalities 1
physical 1
pieces 1
place 1
planet 1
plugging 1
ports 1
posthumans 1
power 1
previous 1
privation 1
progress 1
progresses 1
reason 1
reference 1
related 1
remainder 1
remove 1
revealed 1
river 1
sea 1
secret 1
see 1
seem 2
series 2
setting 1
settled 1
settlements 1
sexual 1
skeletal 1
sky 1
slowerthanlight 1
slowly 1
small 1
snowglade 3
solar 1
some 1
space 1
species 1
star 1
stored 1
story 1
structure 1
such 1
suit 1
suns 1
survivors 1
system 1
systems 1
tabs 1
taken 1
takes 1
tells 1
tens 1
text 1
than 1
that 2
the 39
their 2
them 2
themselves 1
then 1
there 1
these 1
they 4
third 1
this 2
thousands 2
threat 1
to 10
traveled 1
tribes 1
truce 1
turned 1
unstable 1
use 1
using 1
very 1
vessels 1
wary 1
were 1
when 1
which 3
who 2
with 2
years 2
