10781599
/m/02qptkp
/m/02qptkp
Truman Capote

13yearold 1
a 7
abandoned 1
after 1
alabama 1
allowed 1
also 1
amy 1
an 1
and 4
arriving 1
at 2
away 1
back 1
beckoning 1
becomes 1
being 1
birth 1
boy 1
but 1
by 2
catches 1
costume 1
curls 1
death 1
debauched 1
decaying 1
defiant 1
despite 1
down 1
dribbling 1
dying 1
effeminate 1
eventually 1
fat 1
father 3
final 1
finally 1
find 1
flight 1
focuses 1
following 1
friend 1
from 3
girl 1
gras 1
harrison 1
having 1
he 4
health 1
him 2
his 8
idabel 2
implication 1
in 3
inadvertently 1
is 7
isolated 1
joel 6
knox 1
lady 2
landing 2
live 1
lonely 1
louisiana 1
mansion 1
mardi 1
meets 1
mother 1
mute 1
mystery 1
nearly 1
new 1
nursed 1
of 4
old 1
on 2
orleans 1
paragraph 1
plantation 1
pneumonia 1
quadriplegic 1
queer 2
queries 1
randolph 4
remain 1
returns 1
runs 1
rural 1
see 1
sees 1
sent 1
shot 1
skully 1
slightly 1
spectral 1
stairs 1
stepmother 1
story 1
stunned 1
sullen 1
that 1
the 11
time 1
to 5
tomboy 1
top 1
transvestite 1
tumbled 1
vast 1
watching 1
when 1
where 1
whereabouts 1
who 2
window 2
with 3
