4520362
/m/0c6w3q
/m/0c6w3q
Eoin Colfer
2006
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
24 1
a 13
able 1
account 1
accuse 1
after 1
agrees 1
all 6
along 1
an 1
and 16
anesthetic 1
answer 1
april 3
aprils 1
are 3
arson 1
as 1
assault 3
assaulted 1
at 4
attacked 1
attributed 1
awakening 1
awakens 1
be 2
becoming 1
been 3
behind 2
being 2
believes 1
between 1
born 1
boy 1
boys 3
brother 1
but 1
by 7
can 1
catches 1
catching 1
cellar 1
chain 1
check 1
claims 1
club 1
comes 2
conclusion 1
costume 1
county 1
cousin 2
crimes 3
criminal 3
culprit 1
dancing 1
decide 1
desired 1
detective 1
detectives 1
devereux 1
discover 2
discovers 1
does 1
due 2
each 1
earlier 1
education 1
embossed 2
ended 1
ends 1
epilogue 1
etudiantes 1
eventually 1
evidence 2
exchange 1
exposes 1
expulsion 1
expulsions 1
family 1
familys 1
father 1
feel 1
files 1
find 1
finding 1
finds 2
fire 1
fletcher 12
following 2
for 6
form 1
found 3
framed 1
from 4
get 2
girl 1
girls 5
goal 1
goes 2
gregor 1
group 1
hacked 1
hacking 1
had 4
hair 1
half 1
halfmoon 1
hand 1
have 3
he 12
heard 1
hears 1
help 2
her 1
herod 2
higher 1
him 7
his 8
holds 1
hospital 2
hours 1
house 2
however 2
hurl 2
hurling 2
imprison 1
in 12
included 1
informant 1
information 1
informing 1
innocent 1
interrogation 1
investigating 1
investigations 1
investigator 1
involved 1
is 5
it 5
jeunes 1
knocked 1
knowing 1
knows 1
last 1
later 1
leading 1
les 1
liars 1
lines 2
link 1
lock 1
looking 1
looks 1
lucky 1
manage 1
may 6
mays 1
meets 1
message 1
moon 2
must 1
mysteries 2
name 1
named 1
natural 1
need 1
new 1
night 1
not 1
occurred 1
of 9
off 1
officer 2
old 1
on 2
out 4
outside 1
part 1
passes 1
password 1
photograph 1
planned 1
pointing 1
police 5
practicing 1
present 1
previously 1
prime 1
protect 1
proves 1
puts 1
ranked 1
receives 1
recent 1
records 1
red 13
replies 1
reputation 1
rescued 1
rid 1
right 1
ruining 1
saved 1
saving 1
saying 1
school 2
secret 1
send 1
series 1
sharkey 4
she 1
show 3
sight 1
so 2
solve 2
some 1
somebody 1
something 1
stage 1
starts 1
stick 2
still 1
stolen 1
stopped 1
story 2
suggests 2
suspect 1
suspects 1
suspicious 1
talent 2
team 1
text 1
than 1
that 12
the 42
their 2
then 2
therefore 1
these 2
they 6
thirteen 1
this 4
threatened 1
three 1
to 25
together 1
torch 1
true 1
truth 1
trying 1
turns 1
two 2
unconscious 1
unfortunately 1
unsolved 1
up 4
upcoming 1
upon 1
use 2
victims 2
visit 1
was 5
way 1
when 1
where 1
which 1
while 1
who 1
with 3
within 1
would 1
wrong 1
yard 1
year 1
youre 1
