3753018
/m/09z47c
/m/09z47c
Doris Lessing
1980
a 9
about 2
accustomed 1
action 1
after 2
alith 19
all 3
allure 1
also 1
an 1
and 28
appalled 1
are 8
armed 1
armies 2
army 2
arusi 3
as 1
astounded 1
at 3
ata 13
back 2
band 4
barbarian 1
be 1
bears 1
being 1
ben 13
between 2
birth 1
blocking 1
border 1
both 1
bumptious 1
but 7
by 9
campaigns 1
cannot 1
changed 1
changes 2
clearly 1
close 1
commanderinchief 1
communities 1
company 1
confidence 1
consorting 1
control 1
crossborder 1
crude 1
dabeeb 3
day 1
decide 1
decision 1
deposed 1
descends 1
devastated 1
difficulty 1
disbands 1
discovers 1
disturbed 1
disturbing 1
does 2
downtrodden 1
drawn 1
each 3
enough 1
enquiry 1
enter 1
enters 1
everywhere 1
evident 1
evoke 1
excursion 1
exiles 1
fact 1
feelings 1
filled 1
find 2
finds 3
five 7
flowing 1
followers 1
fond 1
forgotten 1
four 7
from 2
frontier 3
frontiers 1
future 1
gain 1
go 1
goes 1
grave 1
grow 1
growing 2
has 8
have 2
he 8
heir 1
help 1
her 10
him 2
his 4
home 1
huge 1
idea 1
illbred 1
in 10
incursions 1
inhabitants 1
inhospitable 1
insights 1
inspiration 1
instruct 1
into 2
introduced 1
invisible 2
is 11
it 1
its 3
jarnti 1
just 1
king 1
knowledge 1
large 1
leader 1
leaving 1
led 1
like 1
locals 1
lovers 1
makeshift 1
man 1
marriage 2
marriages 1
marries 1
marry 3
militarized 1
military 1
misgivings 2
more 1
most 1
motion 1
moved 1
murti 2
near 1
nevertheless 1
new 1
news 1
no 2
nomads 1
not 8
now 2
of 30
old 2
one 2
only 1
open 1
opens 1
order 2
ordered 1
other 3
over 2
paradise 1
peaceful 1
people 3
persuades 1
place 1
pleased 1
plundering 1
poor 1
population 1
presence 1
previously 1
primitive 1
providers 4
queen 5
rebuild 1
received 1
reforms 1
relating 1
relish 1
reluctantly 2
renewal 1
repressive 1
repulsed 1
rest 1
return 1
returns 1
reunited 1
righteous 1
rulers 1
see 3
sees 1
sending 1
set 1
she 2
shocked 1
silence 1
sister 1
slowly 1
small 1
soldiers 1
some 1
son 2
soon 1
stable 1
stagnant 1
step 1
stop 1
story 1
suppressed 1
surprised 1
take 1
taken 1
taming 1
tells 1
terrorise 1
that 6
the 39
their 3
them 1
these 1
they 4
this 3
three 12
through 1
time 2
to 24
told 1
too 1
towns 1
travel 1
travels 1
tribal 1
tries 1
two 7
unchallenged 1
underdeveloped 1
unexpectedly 1
unidentified 1
unworldly 1
uplift 1
used 1
vahshi 3
villages 1
visits 1
want 2
way 1
wealth 1
weapons 1
well 1
when 4
while 2
who 2
wife 1
wild 1
wins 1
with 4
women 6
working 1
xenophobia 1
years 1
yet 1
youths 1
zone 26
zones 5
