761530
/m/0396nw
/m/0396nw
Charles Dickens
1844
a 12
abruptly 2
accompanies 1
acquired 1
actually 1
all 1
also 1
always 4
an 6
and 27
angry 1
another 1
anthony 3
any 1
apprentice 1
architect 2
are 3
arguing 1
arrange 1
as 4
at 4
attachment 1
attempt 1
back 1
bad 1
be 6
because 2
becomes 2
becoming 1
been 3
before 1
befriends 1
beginning 1
being 1
believing 3
benefactor 1
berating 1
book 1
both 1
brother 1
business 1
businessman 1
but 3
by 4
can 3
care 2
cared 1
changes 1
character 4
charity 1
cheats 1
cheerful 1
cheerfulness 1
cherry 3
chevy 1
chuzzlewit 4
circumstances 3
closer 1
companion 1
confront 1
considerable 1
considered 1
constantly 2
contrast 1
control 2
convinces 1
cruel 1
daughters 1
decides 2
deciding 1
declare 1
declares 1
defends 1
demands 1
despite 1
die 2
dies 1
discover 1
discovers 2
diseasefilled 1
disinherits 1
do 1
does 2
draughting 1
during 1
eager 1
eden 1
employer 2
employing 1
employment 1
end 1
ends 1
engaged 1
engagement 1
england 1
entangled 1
equally 1
establish 1
eventually 1
experience 1
exploitatively 1
faade 1
fallen 1
falls 3
family 1
father 1
fees 1
felt 1
finally 2
finds 1
fine 1
fips 1
folly 1
for 7
fortune 2
from 3
funds 1
gain 1
gentleman 1
girl 1
give 1
given 1
glory 1
goes 1
good 2
governess 1
grandfather 6
grandmother 1
grandson 3
great 1
greatly 1
greedy 2
grim 1
group 1
had 6
hangeron 1
happy 2
has 7
have 1
he 22
health 1
hears 1
help 1
her 3
him 9
himself 2
his 27
however 1
ideal 1
if 1
important 1
in 17
incapable 1
information 1
inherit 2
instead 1
insurance 1
into 1
investors 1
is 11
it 4
jilts 1
job 1
john 2
joins 1
jonas 7
kick 1
kind 1
kindhearted 1
knowing 1
knowledge 1
late 1
leaving 1
life 2
live 1
lived 1
lives 3
london 1
long 1
love 3
low 1
maintain 1
make 1
malaria 1
man 2
mark 4
married 1
marry 2
marrying 1
martin 26
mary 7
match 1
may 1
meanwhile 2
men 2
merry 3
miserly 1
mistreated 1
money 1
montague 1
motivation 1
moves 1
mr 1
murder 1
murdered 1
murdering 1
must 2
mysterious 3
named 1
namesake 1
nearly 1
never 1
new 2
no 1
not 2
now 3
nursemaid 1
nursing 1
of 21
off 2
old 2
older 1
on 4
one 2
only 3
opinion 1
order 1
orphaned 1
others 1
out 2
own 1
particular 1
passes 1
pecksniff 14
penitently 1
petty 1
pinch 10
place 1
plan 1
planned 2
plans 1
pocket 1
point 1
possible 1
precaution 1
pretending 1
prevent 1
profit 1
prominent 1
proud 1
pyramid 1
quickly 1
raised 1
raising 1
realizes 1
receives 1
recipient 1
reconciled 1
reflect 1
refuses 1
rejects 1
relative 1
relatives 2
remain 1
remains 1
rescues 1
rest 1
return 1
returns 1
reunited 1
revealing 1
reveals 1
ruining 1
ruth 3
scam 1
schemelike 1
seeing 1
seek 2
seemingly 1
sees 1
selfish 1
senior 6
seth 1
settlement 1
she 4
shows 1
sister 1
situation 1
slyme 1
so 1
some 1
son 1
soul 1
spirits 1
spoiled 1
start 1
states 1
strength 1
student 1
students 1
suspicious 1
swampy 1
taken 1
takes 1
tapley 1
teaching 1
tell 1
test 1
that 12
the 24
their 2
them 2
themselves 1
then 3
they 3
thief 1
things 1
thinking 1
this 6
thrall 1
thus 1
thwarted 1
ties 1
tigg 4
time 2
to 34
together 1
tom 4
transform 1
true 2
tuition 1
two 1
unbeknown 1
under 3
understanding 1
united 1
unrequited 1
unscrupulous 1
unworthy 1
up 2
uses 1
valuable 1
virtue 1
vociferously 1
wages 1
want 1
wants 1
warm 1
was 2
watch 1
wealth 2
wealthy 1
well 2
wellbeing 1
westlock 1
when 3
where 1
which 2
while 1
whilst 1
who 4
whom 2
whose 1
will 2
wishes 1
with 13
woos 1
work 1
works 1
worst 1
would 3
years 1
young 6
