100141
/m/0pj6q
/m/0pj6q
Mordecai Roshwald
1959
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
1 1
2 1
5 1
58 1
6 1
a 4
accident 1
air 1
all 1
already 1
an 1
and 3
andnbsp7 1
are 1
as 2
at 1
automatic 1
been 1
begin 1
bomb 1
buttons 1
civilian 1
collection 1
complexes 1
contamination 1
deaths 1
down 1
during 1
earth 1
electronic 1
emerges 1
end 1
exterminated 1
filters 1
find 1
forced 1
from 2
given 1
gradually 1
ground 1
has 1
have 1
his 1
hours 1
in 1
inhabitants 2
initial 1
into 1
is 1
it 1
its 1
last 1
lasts 1
later 1
levelnbsp7 1
levels 2
life 1
makes 1
malfunction 1
military 1
minutes 1
moves 1
novel 1
nuclear 1
occupy 1
of 7
on 1
ordered 1
orders 1
past 1
personnel 1
pile 1
place 1
point 1
power 1
push 1
residence 1
responses 1
series 1
shelter 1
shelters 1
sources 1
surface 2
surviving 1
taken 1
that 2
the 12
their 2
through 1
to 4
total 1
toward 1
underground 1
war 1
warnbspiii 1
water 1
way 1
which 1
while 1
wholly 1
world 1
x127 1
