256471
/m/01m06z
/m/01m06z
Frederick Forsyth
1971-06-07
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense", "/m/0hwxm": "Historical novel"}
140 1
163 1
18 1
2012 1
22 1
24 1
25 1
25th 1
500000 1
a 47
able 2
about 5
abroad 1
absolute 1
absolutely 1
accident 1
acquires 1
action 1
actions 1
actually 1
after 5
again 3
against 1
agent 3
agree 1
agrees 1
ahead 1
aim 1
air 2
aka 1
alfa 1
algeria 1
all 3
allow 1
allowing 4
allows 1
almost 1
also 1
an 14
and 52
another 2
antoine 1
any 5
apartment 5
appear 1
appearances 1
apprehending 1
appropriate 1
are 6
argoud 2
armed 1
around 1
arrangements 1
arrest 1
arrive 1
arrogant 1
articles 1
as 4
aside 1
asked 1
assassin 9
assassinate 1
assassination 5
assume 1
at 10
attached 1
attempt 2
attempts 1
attending 1
attention 1
august 2
authorities 1
authority 1
avoiding 1
bank 1
bastienthiry 3
be 13
becomes 1
been 1
before 3
begins 3
belgium 1
best 1
blackmail 1
board 1
body 1
bodyguards 1
book 1
books 1
boy 1
branch 4
briefly 1
british 3
bryn 1
building 2
bullet 1
bullets 1
burial 1
buried 1
bursts 1
but 9
by 11
calls 2
calthrop 8
can 3
cancel 1
cannot 2
captured 2
car 3
carefully 1
careless 1
carrying 1
cemetery 2
ceremony 1
chacal 1
charles 3
chase 1
chassis 1
chateau 1
checking 1
checkpoint 1
checkpoints 1
checks 2
cheeks 1
chest 1
chief 1
christian 1
circles 1
citywide 1
claude 2
cleaning 1
close 1
closes 1
code 1
col 2
colonel 3
come 2
commemorating 1
commission 1
commissioner 2
commissions 1
completely 1
concealed 1
conduct 1
confirms 1
confronting 1
congratulations 1
connection 1
considering 1
constant 1
contact 1
contacts 2
convenes 1
correctly 1
costs 1
council 2
counted 1
coupled 1
cripples 1
crs 4
crutch 2
curious 1
custom 1
day 6
days 1
de 14
dead 1
death 1
decided 1
decides 1
deduce 1
deduces 2
demands 1
deposit 1
deputies 1
deputy 2
describes 1
description 1
despite 1
details 1
detective 4
detectives 1
determines 1
developed 1
discover 2
disgrace 1
disguised 1
dismisses 1
does 2
doing 1
dominican 2
done 1
door 1
driving 1
du 1
during 1
dying 1
each 4
early 1
ecole 1
effective 1
either 1
eluded 1
emergency 3
englishman 3
enmity 1
enough 1
enters 1
escapes 1
essential 1
establish 1
established 1
evades 1
even 1
evening 2
eventual 1
eventually 1
every 1
everyone 1
everything 1
exact 1
examined 1
examines 1
except 1
execution 1
exhaustive 1
exhaustively 1
extremely 1
eyes 2
facade 1
failed 1
failure 1
fake 2
false 7
family 1
faster 1
favorable 1
fee 1
feeds 1
feel 1
felt 1
few 1
finding 1
finds 2
finish 1
fires 1
firing 1
first 7
flat 1
floor 1
follow 1
foot 1
for 16
force 2
forces 2
foreign 3
forged 1
forger 3
forges 1
form 1
forward 1
found 2
four 1
fraction 1
france 8
french 10
frey 1
friend 2
from 9
front 1
fruitless 1
gang 1
gare 1
gaulle 14
general 1
given 1
goes 1
good 1
government 2
grant 1
granted 1
grave 1
great 1
group 2
grudging 1
guard 1
guises 1
gun 2
gunsmith 1
had 1
half 2
handed 1
harold 1
has 6
have 3
he 26
head 1
heads 1
hear 1
hearing 1
hears 1
hearty 1
heavy 1
hed 1
hell 1
helpful 1
her 1
hidden 2
higher 1
him 10
himself 1
hire 1
hired 1
his 40
historical 1
holiday 2
home 1
homosexual 1
honoring 1
hotel 4
hour 1
house 1
how 1
however 2
identification 1
identified 1
identifies 1
identities 2
identity 5
if 3
ii 1
immediately 1
in 47
inch 1
incoherent 1
independence 1
infiltrating 1
inform 1
informal 1
informants 1
information 1
informs 2
inquire 1
inquiries 3
inquiry 5
inside 1
inspector 1
instantly 1
intelligence 2
intended 1
interior 1
interpreting 1
interrogated 2
into 3
investigation 1
is 26
it 4
italy 1
itself 1
jackal 34
jeanmarie 1
job 1
judiciare 1
juin 1
junior 1
keep 1
kidnap 1
killed 1
killing 3
kills 3
kind 1
kingdom 1
kiss 1
know 1
knowing 1
label 1
labeled 1
land 1
large 1
last 2
later 2
leads 1
leans 1
leaves 1
lebel 17
left 1
legitimate 1
letter 1
letters 1
liberation 2
life 1
likely 3
likewise 1
listens 1
living 1
load 1
lock 1
locks 1
london 5
long 2
look 1
lookout 2
loss 1
lt 1
luck 1
lures 1
macmillan 1
made 1
magazineload 1
majority 1
makes 2
man 5
manhunt 1
marc 1
massive 1
master 3
mat4 1
match 1
medals 1
meeting 3
meets 1
member 1
members 1
men 2
mentions 1
militaire 1
militant 1
million 1
minister 5
misses 1
missing 1
mission 1
mistress 1
modify 1
months 1
montparnasse 1
morale 1
more 2
moreover 1
most 4
much 3
murder 1
must 3
mutual 1
name 8
named 1
names 1
network 1
neutralize 1
never 1
nevertheless 1
night 1
no 1
normal 1
not 2
nothing 2
notoriously 1
oas 7
of 69
off 2
officer 3
officially 1
old 1
on 19
once 1
one 10
onelegged 2
only 3
open 1
operate 1
operated 1
operations 1
options 1
or 4
orchestrates 1
orchestrating 1
orders 1
organization 2
other 5
out 4
outside 2
over 1
overlooking 1
override 1
own 2
papers 2
paris 6
part 1
particular 1
partisans 1
passed 1
passes 1
passport 3
passports 2
person 2
personal 1
petitclamart 2
picked 1
picking 1
piece 1
pillow 1
place 1
plan 2
planned 1
plans 1
plot 2
police 9
policeman 2
political 1
post 1
powers 2
preceding 1
preparations 1
presenting 1
president 2
pretending 1
priest 1
primarily 1
primary 2
prime 2
principal 1
proceed 1
professional 1
progress 1
public 3
questioning 1
raids 1
ramblings 1
reached 1
readies 1
real 1
realizes 3
really 1
reasons 1
receiving 1
recognizing 1
reconnoiter 1
recorded 1
records 2
refuge 2
refuses 1
registrations 1
reload 1
remainder 1
remaining 3
remains 1
remarkably 1
rented 1
reported 1
reports 1
represent 1
republic 2
requestioning 1
researching 1
resemble 1
resigns 1
resistance 1
respect 1
rest 3
return 1
rifle 5
rightwing 1
robberies 1
rodin 6
roger 1
rome 1
romeo 1
routines 1
