21387145
/m/05f690c
/m/05f690c

2007
{"/m/05hgj": "Novel"}
1 1
103 1
121 1
13 1
148 1
15 1
150 1
154 1
16 2
164 1
173 2
174 1
175 1
18 2
25th 1
33 1
35 1
4 1
40th 1
44 1
66 1
74 1
a 31
able 1
abortion 2
about 4
absolute 1
accident 1
acquaintance 2
actually 1
acumen 1
adds 1
adolescence 1
adult 1
affair 1
affairs 2
affects 1
after 2
afternoon 1
again 1
against 1
age 3
aged 2
ageing 1
agreed 1
agreement 1
agrees 1
aires 1
alive 1
all 2
allies 1
allocating 1
allowed 2
already 2
also 4
although 1
always 1
ambassadors 1
america 1
american 1
an 12
anatolia 1
and 47
andersen 1
andmdasherroneouslymdashknown 1
anything 1
apart 1
apartment 1
appetite 1
applying 1
approaches 1
approaching 1
are 1
argentina 1
aristide 1
aristocracy 1
arranges 1
as 14
asked 2
at 8
attempt 1
attending 1
attention 1
attracted 1
attraction 1
author 1
authorised 1
awe 1
axis 1
background 1
bad 1
badly 1
bath 1
bathrobes 1
battle 1
be 3
because 1
become 1
becomes 1
bed 2
been 5
before 3
behind 1
being 3
believe 1
believed 1
bellboys 1
best 1
between 1
biggest 1
biography 1
birth 1
birthday 3
blow 1
boardingschool 1
boat 1
body 1
book 1
boredom 1
born 1
both 2
bought 1
bourgeois 1
break 1
breaks 1
british 1
broaches 1
brother 1
buenos 1
built 1
business 7
but 5
buying 1
by 9
can 2
care 1
carefully 1
caring 1
carrying 1
catholic 1
cautiously 1
chapter 1
characters 1
cheeks 1
child 1
childhood 1
children 4
city 2
class 1
cleanse 1
close 1
closing 1
combat 1
come 1
company 3
competitors 1
concerned 3
condition 1
conducted 1
confidentiality 1
consent 1
consider 1
constant 1
continue 1
continued 1
contracts 1
conversation 1
converted 1
cooperative 1
countless 1
couple 2
courting 1
crash 1
crisis 2
crust 1
curlers 1
custody 1
daniel 4
daughter 3
dawn 1
day 3
days 1
death 2
decides 2
decisions 1
demanded 1
depended 1
described 1
despite 2
deteriorate 1
developed 1
dies 2
dignitaries 1
dilapidated 1
disintegrates 1
dislike 1
disperse 1
disposition 1
divorce 1
divorcee 1
do 2
does 1
donation 1
dr 3
dress 1
drops 1
drug 1
due 1
during 6
each 2
eager 1
early 1
earthly 1
either 1
eligible 1
embarks 1
end 1
energy 1
engineer 1
enter 1
entertaining 1
ephemeral 1
especially 1
even 2
eventually 1
ever 2
evergrowing 1
every 1
everyone 1
everything 1
exclusive 1
excuse 1
expenses 1
explains 1
extensively 1
eyewitness 1
face 1
failed 1
failure 1
family 3
far 4
fatal 1
father 6
father3s 2
fear 1
feed 1
feels 2
fellow 1
few 1
finds 1
fleet 1
