8626818
/m/027bkfl
/m/027bkfl
Nadine Gordimer
1981
a 22
abandoned 1
ability 1
about 8
absences 1
absent 1
according 1
account 1
accuses 1
acts 1
actually 1
adequately 1
afraid 1
african 1
africans 1
after 8
afterward 1
against 1
aid 1
all 1
allows 1
also 1
although 1
always 4
amplifier 1
an 3
and 47
angered 1
angrily 1
anxious 1
anyone 1
apartheid 1
apparently 1
are 3
argue 1
as 5
ask 3
asking 1
asks 9
asleep 1
asserts 2
at 1
attackers 1
authority 2
baby 1
back 2
bakkie 8
bam 20
bamford 1
batteryoperated 1
be 4
because 1
become 2
been 2
before 1
begins 2
believe 2
birds 1
black 7
blacks 3
blaming 1
blood 2
book 1
books 1
both 1
boy 1
breakfast 1
bring 2
brings 2
bucket 1
builds 1
bundles 1
bush 1
but 4
by 9
called 1
can 4
cannot 3
car 2
carried 1
carrying 1
case 1
caught 1
chases 1
chief 11
children 2
city 4
civil 1
clumsily 1
come 2
comes 1
communicate 1
compels 1
compete 1
conferred 1
confidence 1
confront 1
constantly 1
contention 1
could 2
country 2
covered 1
criticisms 1
criticizes 1
criticizing 1
current 2
cuts 1
cutting 1
daniel 5
day 2
days 1
daze 1
defend 1
defenseless 1
delicacy 1
departure 1
dependent 1
describe 1
destruction 1
didnt 1
difference 1
different 1
digging 1
dignified 1
dignity 1
discounts 1
discovers 1
discuss 1
discussion 1
disorientation 1
distrust 1
do 4
does 2
dominance 1
drink 1
drinking 1
drive 1
driving 1
drowned 1
dumbfounded 1
during 2
each 1
eating 1
either 1
ellen 3
elsewhere 1
ended 1
ends 2
entertainment 1
entire 1
events 1
everyone 1
everything 2
exhausting 1
expected 1
experience 2
experiencing 1
explains 2
face 2
falls 1
families 1
family 8
fears 1
feasts 1
feel 1
feeling 1
feels 2
fervently 1
fiction 1
fictional 1
fields 1
fifteen 2
fight 2
fighting 1
find 3
first 2
fish 1
flee 1
flies 1
follows 1
for 23
force 1
forced 1
forgive 1
former 4
fought 1
found 1
friend 2
frightened 1
from 9
front 1
fully 1
further 1
furthermore 1
gas 1
get 2
gina 3
girlhood 1
give 1
given 1
gives 1
go 1
goes 4
going 1
good 1
government 1
grass 2
greets 1
gun 6
guns 1
had 5
has 7
have 5
having 1
he 38
head 1
hear 1
heavily 1
helicopter 2
help 1
her 27
here 1
herself 1
hidden 1
him 18
himself 2
hinders 1
his 27
hollow 1
home 2
honest 1
hopes 1
house 2
how 6
however 2
humiliated 1
humiliating 1
hunger 1
hunt 1
husband 1
husbands 1
hut 3
huts 1
idea 1
if 7
ignoring 1
important 1
impotent 1
in 25
inappropriate 1
informs 2
instead 1
intelligent 1
intends 1
intoxicating 1
is 12
it 6
items 1
its 1
johannesburg 4
joined 1
journey 1
joyfully 1
july 37
just 1
keep 1
keeps 2
kept 1
keys 6
kill 1
killing 1
kills 2
