19995005
/m/04y951v
/m/04y951v
Joyce Cary
1939
{"/m/0q9mp": "Tragicomedy"}
a 9
about 1
abusive 1
accounts 1
act 1
adjusting 1
admires 1
africa 1
african 1
again 1
all 1
also 1
an 2
and 21
another 1
are 2
area 1
around 2
as 3
assigned 1
at 2
attacks 1
back 1
be 3
becomes 1
been 1
begs 1
being 1
benefit 1
beyond 1
blows 1
books 1
breaking 1
brings 2
british 2
but 6
by 2
can 1
cannot 1
career 2
cary 1
centers 1
characters 1
clear 1
clerk 2
close 1
colonial 1
compliment 1
conceives 1
courage 2
delight 1
destroy 2
different 1
difficulties 1
discovers 2
dismisses 1
dissatisfied 1
district 4
does 2
drawn 1
drunk 1
duties 1
employee 1
energy 1
engaged 1
england 1
enjoys 1
enthused 1
enthusiasm 1
epithets 1
extent 1
facing 1
fada 4
fiddled 1
finagle 1
fitting 1
follow 1
follows 1
for 2
foreigner 1
found 1
from 4
funds 1
gallows 1
given 1
go 1
goes 1
going 1
gollup 5
goodhumored 1
graft 1
great 2
guilty 1
happy 1
has 5
have 2
he 8
heart 1
highway 1
him 10
hires 1
his 15
how 1
idea 1
immediately 1
in 10
indeed 1
infectious 1
infects 2
into 1
is 12
johnson 18
joyfilled 1
keep 1
killing 1
kills 1
kind 1
larger 1
leaves 1
led 1
legal 1
less 1
let 1
lie 1
life 1
lifestyle 1
linking 1
local 2
main 1
makes 1
man 1
married 1
marrying 1
may 1
means 1
meanwhile 2
mechanism 1
mood 1
murder 1
must 2
native 2
never 1
next 1
nigeria 1
no 2
not 1
notion 1
novel 1
now 2
of 9
office 2
officer 2
officers 1
official 1
older 1
one 1
other 1
out 1
people 1
personal 1
petty 1
point 1
political 1
population 1
possessor 1
possibly 1
project 2
public 1
racist 1
ramifications 1
rather 1
realizing 1
really 1
recommences 1
regarded 1
region 1
regulations 1
retaliates 1
retired 1
return 1
returns 1
road 2
roadbuilding 4
rudbeck 15
rules 1
runs 1
same 1
scandal 1
seduced 1
seeing 1
sergeant 1
seriously 1
service 1
shortage 1
so 1
society 1
store 2
storekeeper 1
struck 1
successful 1
suggests 1
superior 1
support 2
swindle 1
take 1
than 1
that 7
the 27
theft 1
there 1
they 1
thinks 1
this 2
those 2
though 1
time 1
to 18
trial 1
try 1
turn 1
turns 1
uncovered 1
up 1
violence 1
warns 1
way 1
when 3
where 1
which 1
who 2
wife 1
will 3
with 2
without 1
woman 1
words 1
work 3
works 1
young 1
