2540966
/m/07lxb5
/m/07lxb5
Judy Blundell

a 8
adi 2
after 1
along 1
altered 1
an 1
and 13
another 1
arbor 10
are 3
as 2
ask 1
astri 5
at 2
attempt 2
away 1
back 1
bacteria 2
be 1
been 1
belasco 3
bioengineered 1
bounty 2
break 1
bring 1
but 5
by 5
captive 2
captured 1
caring 1
cave 2
children 1
chooses 1
collapses 1
companion 1
companions 1
conducting 1
confront 1
constituent 1
convinces 1
cornered 1
cure 1
dated 1
death 1
delivers 1
desert 1
despite 1
dinner 2
discover 2
do 1
drinking 1
eat 1
elderly 1
escape 1
escapes 1
eventually 2
every 1
evidence 1
experiments 1
fact 1
falls 1
far 1
fight 1
find 3
finds 1
follow 1
for 4
force 1
four 1
free 1
friend 1
from 2
galactic 1
gallia 1
goes 1
grounds 1
has 5
he 4
headed 1
helped 1
her 6
hiding 1
him 1
himself 1
his 1
hold 1
holding 1
home 1
homeworld 1
hope 1
however 2
hunter 2
in 4
infiltrate 1
informing 1
injured 1
into 2
investigate 1
is 7
its 1
jedi 7
jenna 3
jinn 1
joined 1
kenobi 1
laboratory 2
later 1
lead 1
leader 1
learn 1
learns 1
left 1
likely 1
look 1
make 1
manage 1
managed 1
master 2
masters 1
mdash 1
member 1
merely 1
message 1
nobis 8
noor 3
nothing 1
notices 1
obiwan 5
obtaining 1
oddo 1
of 5
off 1
on 6
ona 8
once 1
only 1
order 1
ordered 1
padawan 1
padawans 3
palace 1
parts 1
party 1
patients 1
place 1
planet 2
plant 1
population 1
profit 1
purification 1
pursue 1
quarters 1
quickly 1
quigon 3
raya 2
receives 1
recur 1
report 1
rescued 1
rescuers 1
return 1
roof 1
room 1
royal 1
run 1
samples 1
search 1
searched 1
secret 1
seeing 1
selling 1
senate 1
senator 2
send 1
set 2
seven 1
severely 1
she 5
should 1
sick 1
simpla12 1
since 1
siri 6
slashes 1
smuggle 1
sorn 5
sorrus 3
suffering 1
supply 1
suspecting 1
tachi 1
temple 1
that 14
the 32
their 2
them 1
themselves 1
then 2
there 1
they 6
this 1
three 2
through 1
tied 1
to 20
transcripts 1
transported 1
trap 2
tribe 1
tries 1
two 2
unconscious 1
unusually 1
up 1
uta 2
wants 1
was 1
water 2
went 1
when 1
where 1
whip 1
who 3
will 1
wily 1
wisely 1
with 3
years 1
zan 10
