3753262
/m/09z4nb
/m/09z4nb
Doris Lessing
1983
{"/m/06n90": "Science Fiction"}
a 7
about 1
addition 1
administrator 1
against 1
agents 5
also 2
although 1
an 1
and 28
antigovernment 1
are 4
as 2
at 2
became 1
because 2
become 2
been 1
behaviour 1
believe 1
better 1
between 1
brutality 1
buoyed 1
but 3
by 4
canopean 2
canopus 2
caught 1
change 1
circumstances 1
citizens 2
colonial 2
colonies 1
colonization 1
colonizing 1
comprises 1
conflict 1
conservers 1
continue 1
counter 1
crumbling 1
custodian 1
decides 1
declare 2
declining 1
defeated 1
deprived 1
discover 1
diseases 1
disillusioned 1
divided 1
downtrodden 1
each 2
earmarked 1
edge 2
empire 12
empires 2
encourages 1
enemy 1
established 1
events 1
evolved 1
expansion 3
fallen 1
field 1
five 3
follows 1
for 3
force 1
form 1
formed 1
free 1
from 5
galaxy 1
going 1
governing 1
government 1
groups 1
had 2
halted 1
has 2
he 2
help 3
him 1
his 3
home 1
hospital 1
illness 1
in 7
incent 4
independence 1
independent 1
independently 1
influence 2
information 1
intelligent 1
interstellar 1
into 2
invade 1
invades 1
is 10
it 1
its 3
itself 1
klorathy 4
known 1
krolgul 4
land 1
last 1
learn 1
led 1
life 1
loyalties 1
maken 2
many 1
monitor 1
moons 1
nearby 1
needs 1
neighbouring 1
now 3
observe 1
occupied 1
of 13
off 1
oligarchy 1
on 3
one 1
oppressed 1
other 1
others 1
our 1
out 1
over 1
own 2
period 1
placed 1
planet 2
planets 7
poor 1
possible 1
presence 1
prey 1
program 1
propaganda 1
provide 1
provoked 1
questioners 1
recovered 1
referred 1
region 5
relatively 1
repression 1
resumed 1
return 1
returns 1
revolutionary 2
rhetoric 3
rhetorical 1
ruled 1
rules 1
selfsustaining 1
sends 1
senior 1
sent 1
sentiment 1
sentimental 1
set 1
shammat 4
should 1
sirian 7
sirius 12
situated 1
slovin 2
speaking 1
sphere 1
split 1
start 1
still 1
subjects 1
support 1
sure 1
system 1
than 1
that 5
the 38
their 4
them 1
themselves 1
these 3
they 5
this 3
threatening 1
time 2
to 10
told 1
troops 2
turmoil 2
turned 1
two 2
tyranny 2
uncontrolled 1
unfolding 1
unstable 1
up 1
volyen 12
volyenadna 2
volyendesta 3
volyens 1
want 1
weak 1
weakens 1
welcomed 1
were 2
when 2
where 1
who 4
will 1
with 6
withdrawn 1
