9648948
/m/02pn2by
/m/02pn2by
Robert Asprin

{"/m/06n90": "Science Fiction"}
a 23
adults 1
after 5
against 2
all 2
almost 1
among 1
an 3
and 9
another 1
ants 6
any 1
are 6
as 6
assuming 1
at 3
base 3
battle 2
be 1
because 2
been 1
before 2
begin 1
between 1
book 1
born 1
bug 1
building 1
bury 1
but 1
by 2
campaign 1
campaigns 1
can 1
capable 2
captured 1
cast 1
caste 1
casualties 1
casualty 1
character 1
chief 1
coalition 1
coldbeam 1
colonize 1
colony 2
commander 1
communication 1
considered 1
covers 1
creature 3
culminates 1
defeat 1
defeated 1
defeating 1
destroy 1
destroyed 1
device 1
discover 1
discoveries 1
discovers 2
each 1
eats 1
eggs 2
eliminate 1
eliminated 1
empire 3
enough 1
eradicate 2
escape 1
estimate 1
fact 1
fauna 1
find 2
flight 1
flora 1
for 4
force 1
from 2
galaxy 1
generation 1
group 1
had 1
have 2
him 1
his 1
hostile 1
hounded 1
however 2
immune 1
impossible 1
in 5
including 1
insect 2
insects 4
intelligent 1
intend 1
is 6
it 3
kill 2
large 1
lasers 1
later 1
launch 1
lead 2
leapers 6
learn 1
least 2
leaves 1
length 1
levying 1
looking 1
made 1
main 1
making 1
mantis 1
many 1
middle 1
military 1
million 1
mission 3
natural 1
near 1
needed 2
nests 1
next 1
not 1
number 2
of 18
on 2
one 3
opening 1
order 1
others 1
part 2
percent 1
place 1
planet 2
planetary 1
planned 1
plant 1
power 1
powerconsuming 1
practice 1
practices 1
praying 1
predator 1
predicted 1
prefabricated 1
present 1
primary 1
promptly 1
proportion 1
queens 1
rahm 6
reawakened 1
remaining 1
reminder 1
reproduction 1
reserve 1
resources 1
retreat 1
return 3
returned 1
returns 1
round 1
selected 2
set 1
seventy 1
several 1
shuttle 1
song 1
soon 1
source 1
species 1
spiders 1
standard 1
stasis 2
stranded 2
strong 1
such 1
suggest 1
suicidal 1
suitable 1
takes 1
task 1
team 4
telepathic 1
that 8
the 38
their 3
theirs 1
them 2
then 1
they 9
this 1
thorns 1
time 1
to 17
toxic 1
tzen 9
unavailable 1
units 1
unlike 1
unspecified 2
up 2
use 1
used 2
waking 1
warrior 1
wars 1
was 3
wasp 1
wasps 1
when 2
whenever 1
which 2
while 2
with 3
without 1
would 2
year 1
years 1
