2150790
/m/06qj9s
/m/06qj9s
Tim Dorsey
2000
{"/m/0lsxr": "Crime Fiction"}
170s 1
a 8
accidentally 1
after 1
alabama 1
all 2
along 1
also 1
an 2
and 3
are 2
artery 1
as 1
ashore 1
at 1
bar 1
bathroom 1
blade 1
but 1
by 1
changed 1
characters 1
city 1
coast 1
cocaine 1
comes 1
containing 1
country 1
cut 1
decided 1
don 1
end 1
fiddlebottom 1
fingerprints 1
five 1
florida 1
follows 1
for 2
from 3
gangster 1
girl 1
girls 2
hammerhead 1
he 1
help 1
hemingway 1
herself 1
his 1
hurricane 1
impersonator 2
in 1
incident 1
is 1
it 2
jethro 1
johnson 1
knife 1
lenny 1
lipowicz 1
meet 2
menacing 1
million 1
mission 1
moon 1
more 1
motel 1
name 1
named 2
of 2
on 2
one 1
out 1
over 1
owns 1
part 1
proceeds 1
pulled 1
ranch 1
real 1
ride 1
rock 1
rolandoberto 1
run 2
serge 1
she 1
snort 1
so 1
space 1
stabbed 1
steak 1
suitcase 1
tampa 1
the 9
their 1
there 1
these 1
they 1
time 1
to 6
trying 1
two 1
up 2
using 1
was 1
where 2
who 3
with 2
zargoza 1
