19918431
/m/04q7_2c
/m/04q7_2c
Nicholas Sparks
1999-10
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
17yearold 1
247 1
40 1
400 1
5573 1
57 2
a 15
about 4
accepts 2
admits 1
after 2
afterward 1
age 2
agrees 1
aid 1
aisle 2
all 3
allows 1
always 1
an 3
and 22
angel 4
announces 1
another 1
anyway 1
apologize 1
appreciation 1
approval 1
are 3
around 2
as 5
asks 7
at 11
attend 1
available 1
away 2
back 1
be 6
beaufort 2
beautiful 1
because 1
becomes 2
beginning 1
being 1
believe 1
best 3
between 1
bible 2
body 1
book 1
boy 1
but 3
buys 1
by 6
can 6
cant 1
car 1
carolina 1
carries 1
carter 1
cast 1
causes 1
charismatic 1
child 1
christmas 7
church 5
class 1
collected 2
collects 1
comes 2
congregation 1
congressman 1
containing 1
continues 1
could 2
couple 4
dance 3
date 2
daughter 2
day 6
days 2
dc 1
deceased 1
declares 1
demands 1
deny 1
die 1
dinner 3
discuss 1
do 2
doctors 1
does 1
down 2
dressed 1
during 1
dying 2
election 1
else 1
embarrassed 1
end 1
ends 1
enjoy 1
enters 1
enthusiastic 1
equipment 1
eric 4
eve 2
eventually 1
ever 2
experience 1
explanation 1
fallen 1
father 6
feelings 1
few 1
find 1
finishes 1
first 6
flavin 1
following 3
for 11
friend 1
friends 2
from 1
front 1
full 2
future 1
gap 1
genial 1
gesture 1
get 2
gift 1
gifts 1
girl 1
give 2
given 1
gives 2
go 5
goes 1
gone 1
had 1
hand 1
happen 1
happier 1
has 2
have 1
having 1
he 17
heart 1
hegbert 10
helping 1
helps 3
her 19
high 1
him 3
his 20
home 6
hospital 1
house 4
how 1
hunter 1
i 6
id 1
idea 1
if 4
ill 1
in 17
including 1
initially 1
insisting 1
into 1
invitation 1
invites 1
is 27
it 6
jamie 37
jars 2
jenkins 2
joy 1
kiss 1
knowing 1
knows 1
landon 43
later 5
learn 2
learned 1
let 1
leukemia 1
lew 1
life 2
like 2
line 1
lives 2
local 1
losing 1
love 4
loves 1
making 1
margaret 1
married 2
marry 2
mate 1
me 2
meaning 1
meanwhile 1
meet 1
mend 1
minister 1
miracles 1
mocks 1
monday 1
money 2
more 2
most 1
mother 1
mr 2
much 2
my 1
never 1
new 3
next 3
night 1
no 1
nobody 1
north 1
not 5
now 2
of 15
on 4
one 5
only 2
organizations 1
orphanage 4
orphans 1
other 1
pain 1
participate 1
participating 1
people 3
permission 1
place 1
play 1
popular 2
porch 1
possible 2
presents 1
president 2
pressures 1
production 1
prologue 1
proposal 1
provide 1
quickly 1
reach 1
realizes 1
reclusive 1
refusal 1
refuses 2
rehearsal 1
rejected 1
relationship 1
relentlessly 1
religious 2
reluctant 2
reluctantly 1
remainder 1
replies 1
request 1
required 1
response 1
rest 1
restaurant 1
retrieve 1
return 2
reveals 1
ring 1
role 1
routine 1
rude 1
running 1
runs 2
saying 1
says 1
school 6
seems 1
seen 1
senior 1
share 3
she 10
show 1
showing 1
side 1
simply 1
since 1
sitting 1
sleeps 1
small 1
so 2
some 1
someone 1
son 1
soon 1
spend 2
spends 1
stage 1
starts 1
stay 1
still 1
story 3
strange 1
student 1
students 1
sullivan 3
sunday 1
surprise 2
takes 1
teased 1
tells 4
tension 1
than 1
that 13
the 54
their 5
there 3
they 8
thinks 1
this 2
threatened 1
time 4
to 38
too 3
town 2
true 1
truly 1
truth 1
turn 1
up 1
utter 1
very 3
visit 2
visits 1
waiting 1
walk 3
walking 2
wants 2
was 1
washington 1
way 1
wears 1
weeks 2
were 1
what 1
when 6
where 3
wherever 1
which 2
while 9
who 2
wife 1
will 5
wins 1
wish 1
with 12
wonder 1
would 1
year 2
years 1
yells 1
you 2
youre 1
