14661037
/m/03gs6lc
/m/03gs6lc
Richard Yates
1969
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 1
acceptance 1
accruing 1
achieves 1
after 1
alice 1
all 1
almost 1
an 2
and 4
are 1
as 2
be 1
but 1
by 1
childhood 2
continues 1
dashed 1
days 1
debts 1
decides 1
despair 1
drafted 1
during 1
earns 1
ends 1
enters 1
fact 1
fighting 1
final 1
finally 1
from 3
glory 1
graduating 1
he 3
her 1
high 1
his 4
home 1
hopes 1
ii 1
in 1
incompetent 1
increasingly 2
infirmary 1
interspersed 1
into 1
is 3
its 1
kind 1
larger 1
less 2
mainly 1
money 1
mother 1
moving 1
narrative 1
new 1
not 1
novel 1
of 3
over 1
perspective 1
place 2
pneumonia 1
prentice 2
proves 1
return 1
returns 1
robert 3
scenes 1
school 1
sculpting 1
she 2
slips 1
soldier 1
soon 1
spends 2
struggle 1
that 1
the 4
this 1
time 1
to 5
unit 1
viewed 1
war 1
when 1
with 2
within 1
world 1
york 1
