29573989
/m/0ds4qxz
/m/0ds4qxz
Paul Auster
2010-11-09
{"/m/05hgj": "Novel"}
2 1
2008 1
a 2
abandoned 1
about 1
after 1
american 1
an 1
and 3
been 1
behind 1
bing 1
brooklyn 1
coincidence 1
college 1
dropout 1
during 1
exile 1
financial 1
florida 1
for 1
forced 1
friend 1
from 1
girlfriend 1
has 1
he 1
heller 1
his 3
home 2
how 2
human 1
in 5
is 2
it 1
leave 1
left 1
lives 1
miles 1
neighborhood 1
new 2
of 1
old 1
once 1
park 1
past 1
race 1
recession 1
reconnect 1
rejoin 1
return 1
running 1
selfdiscovery 1
selfinflicted 1
set 1
seven 1
several 1
situations 1
story 1
sunset 1
the 4
there 1
through 1
to 4
together 1
unites 1
who 2
with 3
women 1
world 1
years 1
york 1
