11278597
/m/02r62sg
/m/02r62sg
Ann Brashares
2007
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
21 1
24 2
3 1
a 11
about 2
absent 1
acquaintance 1
admitting 1
adventurous 1
age 1
ago 1
alarm 2
alice 17
also 1
always 1
an 4
and 23
angry 1
another 1
apply 1
applying 1
are 1
around 1
as 4
ashes 1
at 2
athletic 1
attended 1
attends 1
attention 1
awaits 1
babysits 1
back 1
be 4
beach 5
beautiful 1
been 3
being 1
bellevue 1
bitter 1
both 1
business 1
but 3
buys 1
california 1
can 3
care 1
carry 1
cashier 1
childhood 1
children 1
city 2
clears 1
colorado 1
condition 3
constantly 1
continue 1
date 1
day 1
decided 2
died 2
different 1
discovering 1
disease 1
dismisses 1
donates 1
donor 1
door 1
during 3
dyslexic 1
each 2
elderly 1
elegant 1
emergency 1
ends 1
entirely 1
even 2
every 1
explanation 1
face 1
families 1
family 4
far 1
father 2
feelings 4
fifteen 1
finally 1
find 1
fire 3
first 1
following 2
footsteps 1
for 5
friend 1
friendship 1
from 4
funeral 1
girls 1
give 1
gives 1
go 1
goes 3
gone 1
graceful 1
graduate 1
grateful 1
great 1
groundskeeper 1
guilt 1
has 7
have 3
having 3
he 5
heart 4
held 1
helicoptered 1
her 12
herself 2
hide 1
hiding 1
him 2
hippie 1
his 5
home 1
hospital 1
hospitalized 1
house 4
hurt 1
ignore 1
important 1
in 6
indoor 1
insists 2
is 15
island 7
isnt 1
it 3
kept 1
law 1
leadership 1
leaves 1
leaving 2
lengths 1
lifeguarded 1
lives 1
long 1
love 1
loved 1
make 1
manhattan 1
mansion 2
meanwhile 1
medical 3
membership 1
middle 1
million 1
misses 1
money 1
moody 1
morning 1
mother 2
near 1
nearby 1
nearly 1
needing 1
new 2
next 1
night 4
normally 1
not 1
now 1
nyu 3
of 14
off 1
old 1
on 5
one 6
opportunity 1
other 1
out 3
outdoor 1
outside 1
over 2
overwhelmed 1
own 1
owns 1
parents 3
partly 1
paul 15
people 1
person 2
philosophy 1
planning 1
pool 1
postpones 1
problems 1
puzzled 1
realize 1
receive 1
refuses 1
relationship 1
rest 1
returns 1
rheumatic 1
riley 13
rush 1
same 1
saying 1
school 4
secret 1
seems 1
sell 1
sells 1
set 1
sex 1
shared 1
she 8
since 1
sister 2
sisters 1
situation 1
smaller 1
smart 1
sneaking 1
so 1
social 1
sold 1
something 1
spite 1
spread 1
start 1
stay 1
still 1
store 1
story 2
studying 2
suddenly 1
suffering 1
summer 3
summers 1
sure 1
swim 1
take 1
tell 1
tells 1
tend 1
that 4
the 28
their 4
they 5
thinking 1
this 1
three 1
time 1
to 24
together 1
towards 2
transplant 3
trusting 1
trying 1
turns 1
two 1
unaware 1
until 1
up 1
upset 1
urgency 1
virginity 1
volunteering 1
volunteers 1
wants 1
wary 1
was 1
way 1
wealthy 1
wedding 1
when 1
where 1
which 2
while 2
whose 2
widowed 1
wildliving 1
with 5
without 1
work 3
york 1
