19036301
/m/04jk82w
/m/04jk82w
Colin Dexter
1977-05-05
{"/m/0lsxr": "Crime Fiction"}
2 1
a 7
about 2
afternoon 1
all 2
an 1
and 9
appear 1
appointment 1
arabs 1
are 1
at 1
attractive 1
bartlett 2
book 1
british 1
but 1
cause 1
chapter 1
chemistry 1
clearly 1
colin 1
committee 1
connection 1
deaf 1
deduce 1
deputy 1
device 1
dexter 1
diary 1
disagree 1
don 1
donald 1
dr 1
drawing 1
each 1
either 1
especially 1
exam 1
examinations 1
exams 1
fabricated 1
first 1
for 2
foreign 1
found 4
genuine 1
gets 2
getting 1
gulf 1
had 1
has 1
have 1
height 1
himself 1
his 5
in 5
including 1
intrigue 1
introducing 1
involving 1
is 6
it 3
job 1
keeps 1
knowledge 1
later 1
liaisons 1
life 1
lipreads 1
literary 1
maintained 1
maisonette 1
man 1
martin 1
member 2
monica 1
morse 1
mr 1
murder 1
murdered 2
murderer 1
nearly 1
neat 1
new 1
nicholas 1
nymphomaniac 1
of 11
ogleby 2
on 1
or 1
other 1
others 2
out 1
oxford 1
paid 1
papers 1
persian 1
places 1
prior 1
quinn 4
quinns 1
quotation 1
rest 1
roope 2
runs 1
school 1
secretary 1
series 1
some 1
staff 2
strangely 1
street 1
studio 1
stylistic 1
suspicion 1
syndicate 1
the 17
them 1
there 1
this 1
throughout 1
ticket 1
tickets 1
to 2
tries 1
under 1
used 1
walton 1
was 2
way 1
wealthy 1
when 2
which 1
who 2
with 4
wrong 1
young 1
