4659671
/m/0cfxh0
/m/0cfxh0
Walter Wangerin, Jr.

{"/m/014dfn": "Speculative fiction"}
a 40
about 3
accustomed 1
across 1
action 1
after 1
again 1
agree 1
ahead 1
all 9
although 1
always 1
an 9
ancient 2
and 38
anger 1
anguish 1
animals 11
announces 1
another 2
antagonists 1
any 2
anything 1
apocalyptic 1
appearance 1
appears 1
are 2
armageddon 1
army 2
as 7
ask 1
at 3
attack 1
attempting 1
attempts 1
author 1
away 2
back 3
bad 1
bands 1
barnyard 1
basilisk 4
basilisks 3
battle 3
battlefield 1
be 2
become 1
becomes 1
been 3
before 4
beginning 1
begins 3
below 1
between 2
beyond 1
bipedal 1
bird 1
birth 1
bite 1
bloodsoaked 1
body 1
book 4
born 1
both 1
bottling 1
brave 1
breaks 2
bred 1
bright 1
brings 1
brought 1
building 1
but 4
by 7
can 2
cani 7
casualties 1
causes 1
center 1
certain 1
chapters 1
character 1
characters 1
chauntecleer 18
chicken 1
choice 1
claims 1
cockatrice 11
collapsing 1
come 1
comes 2
comfort 1
coming 1
command 1
communicates 1
company 1
confront 1
confronted 1
confused 1
coop 4
country 2
cow 2
coward 1
creature 1
creep 1
crevasse 4
cries 1
crush 1
crust 1
crying 1
dark 1
day 2
days 1
dead 1
dealing 1
dealt 1
death 1
defeat 1
defeats 1
define 1
defying 1
delirious 1
delirium 1
deliver 1
delusional 1
depressed 1
destroy 1
dictatorship 1
dies 1
difficult 1
discovered 1
discovers 1
do 2
does 1
dog 6
dons 1
dont 1
down 1
dreams 2
drive 1
drove 1
dun 2
during 2
dying 1
earth 5
egg 2
eggeating 1
egging 1
eggs 1
emerge 1
emotions 1
end 1
enemy 2
engulfing 1
enigmatic 1
enter 1
enters 1
entire 1
escape 1
escapee 1
especially 1
even 1
eventually 3
everyone 2
everything 1
evil 10
evils 1
exactly 1
exhaustion 1
exists 1
eye 2
face 1
faints 1
faith 1
fall 1
fallen 1
falls 1
farm 1
father 1
few 1
fierce 1
fiercely 1
fight 2
filled 1
final 1
finally 1
find 2
fit 1
flawed 1
flee 1
for 13
forced 2
forces 1
forget 1
forgiveness 1
fortress 1
found 1
from 11
front 1
further 1
gain 1
genesis 1
give 1
god 1
goes 1
goofy 1
gray 1
great 2
greatly 1
ground 1
hand 2
happily 1
happiness 1
has 4
hatches 1
hatred 1
have 3
he 22
head 2
hearing 1
hen 1
hens 2
hero 2
him 11
himself 2
his 31
holding 1
honor 1
horn 2
horribly 1
horror 1
however 1
humans 1
if 1
immediately 1
impales 1
important 1
in 22
initial 1
inside 1
insinuating 1
instructing 1
instructs 1
insulting 1
into 5
introduces 1
introduction 1
invaded 1
is 29
it 6
its 1
joy 1
just 1
killed 1
kills 1
king 1
kingdom 2
knowing 1
knows 1
lack 1
land 10
last 1
lay 1
laying 1
leaders 1
leaps 1
learns 1
leave 2
legs 1
live 1
lives 2
long 1
lying 1
made 1
main 1
make 2
man 1
manage 2
manages 2
manner 1
massive 1
mating 1
merciless 1
messengers 1
might 1
monster 2
most 1
mourns 1
mouth 2
much 1
mundo 7
must 1
name 1
named 4
natural 1
newcomer 1
next 1
nightmares 1
normal 1
not 6
novel 2
now 1
of 37
off 1
on 4
one 3
only 1
onto 3
open 1
opponent 1
opposers 1
order 3
origins 1
other 1
out 4
over 2
own 1
pain 1
pair 1
part 1
past 1
peace 1
penance 1
pertelote 1
place 1
plagued 1
poisonous 1
presence 1
prison 1
prophetic 1
protect 1
put 1
quick 1
rape 1
rat 2
rather 1
reader 1
really 1
rebuking 1
refugee 1
remaining 1
reminiscent 1
request 1
response 1
resuscitate 1
riddle 1
rising 1
river 4
rogue 1
rooster 3
rule 1
ruler 2
sacrifice 1
safe 1
said 1
same 1
saves 1
saying 1
scaly 1
scolds 1
scorn 1
sealing 1
see 1
seeks 1
seems 1
sees 1
selfimportant 1
senex 6
serpent 2
serves 1
several 1
shaken 1
should 1
shouts 1
shown 1
sky 1
small 2
snakes 1
so 2
somewhat 1
son 2
sons 2
soon 2
sorrow 1
sorts 1
spends 1
spoken 1
spring 1
spurs 1
sticks 1
still 2
stirs 1
story 2
struck 1
subjects 1
such 1
suffer 1
surprise 1
surrounding 1
sycophantic 1
takes 3
tells 1
terrible 2
that 14
the 95
their 4
them 3
there 6
they 4
thin 1
thing 1
think 1
thinks 1
this 3
though 5
thought 1
three 2
through 1
throws 1
thuringer 1
thus 1
time 4
to 47
toad 2
together 2
traitor 1
transformed 1
trap 1
trapped 1
tries 1
trio 1
trouble 1
troubles 1
true 1
try 1
trying 2
turkey 1
turkeys 1
turmoil 1
turns 2
two 1
tyrant 1
unbearable 1
under 2
unfortunately 2
up 2
upon 1
upper 1
uses 1
venomous 1
victims 1
victorious 1
visions 2
voice 1
wait 2
war 5
was 1
way 1
ways 1
weak 1
weakness 1
weapon 2
well 1
were 1
what 4
when 4
where 3
which 3
while 5
white 1
who 4
wicked 1
wielding 1
wife 3
wild 1
will 1
wings 1
with 11
without 1
wonder 1
woodland 1
words 3
world 5
wrestle 1
wyrm 14
yet 2
