1617469
/m/05h0ng
/m/05h0ng
David Levithan
2003-09
1 1
100 1
2 1
3 1
4 1
5 1
6 1
7 1
a 23
about 2
accepted 1
accepting 1
afresh 1
after 3
afterwards 1
again 1
all 1
allows 1
alone 1
already 1
also 4
and 66
anything 1
apologizes 1
apology 1
are 5
around 2
arranging 1
arrives 2
as 3
ask 2
asks 1
at 5
attempts 1
attend 2
aunt 1
back 1
be 6
been 3
before 1
being 2
best 3
bets 1
between 1
bisexuality 1
book 1
bookstore 1
boyfriend 1
break 1
breaks 1
broken 1
but 3
buys 1
by 4
came 1
can 1
catches 1
causes 1
cautious 1
celebration 1
cemetery 1
challenges 2
childhood 1
chuck 6
clear 1
clearing 1
closes 1
come 2
comes 3
comfort 1
coming 1
committee 1
confesses 3
control 1
cool 1
coping 1
couple 1
creative 1
cruel 1
crush 1
dance 11
dancing 1
darlene 2
date 2
dated 1
day 10
days 1
deal 3
death 1
decides 3
decorates 1
definitions 1
denying 1
despite 1
died 1
discover 1
distance 1
do 1
doesnt 2
doing 1
dowager 1
down 1
dumped 1
each 1
early 1
embraced 1
enlists 1
enraptured 1
entire 1
evening 1
everyone 1
everything 4
explain 1
explaining 1
extremely 1
fact 1
false 1
fear 1
feel 1
feeling 3
feelings 1
feels 1
film 1
finally 1
find 1
finishes 1
first 1
fix 1
flourish 1
flowers 1
fly 1
football 1
for 9
forbidden 1
forever 1
friend 5
friends 3
friendship 2
from 2
full 1
gathers 1
gay 4
gayfriendly 1
getting 1
give 1
gives 1
go 6
goes 3
going 1
good 1
grade 1
great 3
group 5
had 3
hallway 1
happened 1
happening 1
happy 1
has 5
having 1
he 21
hearing 1
hears 1
held 1
her 7
high 1
hike 3
him 20
himself 2
his 18
hobby 1
holding 1
home 1
homophobic 1
homosexuality 1
house 1
how 1
hugs 1
if 2
image 1
implying 1
in 14
inadvertently 1
including 1
infinite 2
instantly 1
instead 2
interrupted 1
into 2
is 15
it 1
jersey 1
join 1
joni 9
just 1
kissed 1
kisses 2
knows 1
kyle 10
large 1
last 1
laughing 1
leaves 4
less 1
let 1
letters 1
letting 1
life 2
likely 1
likes 1
list 2
listening 1
lives 2
living 1
locker 2
long 2
longterm 1
looks 1
love 2
loves 1
mad 1
made 1
mailbox 1
make 1
making 1
meets 1
mind 1
minute 1
miscommunication 1
more 2
most 1
mother 3
much 1
music 1
musical 1
nearby 1
new 1
next 2
night 3
noah 15
not 1
note 1
of 15
on 5
one 1
only 1
openly 1
order 1
origami 1
other 1
out 3
outcome 1
over 2
overwhelm 1
overwhelmed 1
own 1
parents 5
part 1
partner 1
paul 34
people 2
permission 1
person 1
photography 1
pick 1
picking 1
placing 1
planning 1
plans 1
play 1
player 1
previous 1
process 1
prove 1
quietly 1
realizes 1
recently 2
refuses 1
relationship 3
religious 1
rolls 1
rumor 2
rumors 1
same 3
saying 1
says 1
school 3
second 1
see 4
seeing 1
seem 1
seems 1
series 1
sets 1
seven 2
sexuality 2
she 4
show 1
showing 1
signs 1
since 1
sing 1
small 1
some 1
song 3
sophomore 1
speaks 1
spends 1
spread 1
spreads 2
stage 2
start 3
starts 5
still 1
stop 1
straight 1
stress 1
strict 1
study 1
support 1
talk 1
talking 2
tasks 1
ted 2
tells 2
tension 1
than 1
that 19
the 36
their 4
them 4
theme 2
themselves 1
then 2
there 1
they 5
think 1
thinking 2
this 9
tightly 1
time 2
to 49
together 3
tony 21
towards 1
town 2
track 1
transvestism 1
tricked 1
trouble 1
troubled 1
turned 1
twelfth 1
twenty 1
two 1
uncertain 1
uncertainty 1
understand 1
unrequited 1
up 4
upcoming 2
upset 1
upsets 1
want 1
wanting 1
wants 1
was 1
way 1
ways 1
what 3
when 2
where 2
while 1
who 9
will 1
wishing 1
with 14
within 1
wonderful 1
wont 1
woods 2
words 1
working 1
world 1
write 1
writes 2
year 1
yearly 1
zeke 1
