8805474
/m/027kbjp
/m/027kbjp
Ben Jeapes
2004-12
1850 1
a 10
about 1
after 1
ago 1
also 2
an 3
and 7
are 1
as 4
back 1
banished 1
batgod 1
bats 2
becoming 1
ben 3
benedict 2
bitch 1
book 2
boy 3
brushed 1
brushes 1
but 2
by 2
called 1
camatotz 1
camazotz 1
catches 1
clothes 1
cole 3
destroy 1
docks 1
donald 4
down 2
during 2
edwin 2
eerie 1
empire 1
epidemic 1
extermination 1
father 1
fearsome 1
feeling 1
feels 1
finally 1
finds 1
fly 1
from 4
gets 1
glimpse 1
god 1
godfather 1
got 2
had 2
harisson 2
harkett 1
he 4
helping 2
him 3
his 2
hold 1
how 1
illfated 1
in 3
interesting 1
into 1
is 3
jack 11
joins 1
just 1
killed 1
later 1
living 1
london 2
main 1
make 1
man 3
mayan 2
merchant 1
mexico 4
money 1
name 1
night 1
number 1
of 7
on 2
one 3
opportunity 1
or 1
out 1
outbreak 1
over 1
paris 1
partially 1
past 2
people 1
place 1
plagues 5
port 1
possessed 1
proper 1
realize 1
returned 1
runs 1
sailing 1
sees 1
sequel 1
setting 1
sherwood 2
ship 6
sir 4
slight 1
some 3
started 1
starts 1
stops 1
story 1
strange 1
street 1
suddenly 1
takes 1
tells 2
that 1
the 17
them 1
then 1
there 1
they 1
this 3
thousand 1
to 5
told 1
tribe 1
trip 1
urchin 1
vampire 7
vampires 1
very 1
voyage 2
walk 2
was 1
watches 1
well 1
which 2
who 2
with 2
years 1
young 1
