12878878
/m/02x9c9n
/m/02x9c9n
Frederic Dannay

a 2
about 1
also 1
an 1
and 5
are 1
art 1
at 1
awardwinning 1
bear 1
buck 1
but 3
by 2
cancer 1
circumstantial 1
confronts 1
could 1
crime 1
customs 1
cut 1
daughter 1
day 1
doctor 1
done 1
dr 1
ellery 1
else 1
engaged 1
eva 2
evidence 2
fictional 1
finds 3
furnishings 1
greenwich 1
has 1
have 1
her 2
herself 1
home 1
importantly 1
in 4
information 1
investigation 1
is 2
it 1
its 1
japan 1
japanese 1
john 1
karen 4
kill 1
leith 2
life 1
lives 1
longvanished 1
macclure 1
manhattan 1
marry 1
method 1
mindthat 1
most 1
motivation 1
motive 1
no 2
not 1
novelist 1
novels 1
of 3
one 2
only 1
out 1
own 1
pearl 1
pierces 1
puzzle 1
queen 2
raised 1
relative 1
researcher 1
resemblance 1
s 1
scene 1
set 1
she 3
startling 1
suggestseven 1
surrounded 1
that 1
the 8
there 1
this 1
throat 1
to 3
turns 1
up 1
veil 1
village 1
was 1
whose 1
with 1
works 1
worldfamous 1
writer 1
writes 1
