101521
/m/0prr3
/m/0prr3
Niccolò Machiavelli
1532
1 1
15 1
16th 1
2 2
5111315a13 1
a 118
abandon 2
ability 2
able 5
about 7
above 1
absent 1
absolute 2
absolutely 2
absorbed 1
academic 1
according 3
account 1
acquire 1
acquired 1
acquisition 1
act 2
action 1
actions 1
activities 1
actually 1
acumen 1
adapt 1
additionally 2
addressed 1
addressing 1
adds 1
advance 1
adverse 1
adversity 3
advice 9
advise 1
advised 2
advises 4
affairs 1
afford 1
africa 1
africanus 1
after 3
again 1
against 9
agathocles 2
aim 1
aims 1
alexander 3
alienate 1
all 13
allan 2
allegiance 1
alliances 1
allies 5
allow 1
ally 3
almost 1
already 2
also 17
although 4
always 4
ambition 1
an 16
and 95
announces 1
another 2
answer 1
any 8
anyone 1
apparently 1
appeals 1
appear 3
appearance 1
appears 1
appreciated 1
are 39
area 1
argues 3
aristotle 3
armed 2
armies 6
arms 2
army 3
around 1
art 1
as 45
ascend 1
asserts 4
associates 1
assures 1
astuteness 1
at 9
attack 1
attacked 1
attempts 1
attitudes 1
attributes 1
atypical 1
author 2
authority 1
auxiliary 2
avoid 5
avoided 2
avoiding 1
bad 6
base 2
basic 1
battlefield 1
be 68
beat 1
became 1
because 22
become 1
becomes 1
becoming 1
been 5
behavior 2
behind 1
being 9
beings 1
belief 1
believes 5
belonging 1
benefactors 1
benefit 4
benefited 1
benefits 2
best 1
better 6
between 4
bigger 1
blame 3
blessings 1
bloodline 1
body 1
book 3
books 3
borgia 5
borrowed 1
both 4
bound 3
break 1
breaks 1
bring 2
bringing 2
brothers 1
brutally 1
building 1
but 28
by 26
caesar 1
calculate 1
called 1
calls 1
calm 1
came 1
campaigns 1
can 24
cancel 1
cannot 5
capable 1
captains 1
carefully 1
carried 1
carthage 1
case 5
cases 2
categorization 1
catholic 1
cause 3
caution 1
cautious 1
century 1
certain 3
cesare 2
chance 1
change 3
changed 1
changing 2
chapter 9
chapters 2
choose 2
christianity 1
church 4
circumstances 2
cited 1
cites 1
cities 1
citizen 1
citizens 1
city 5
civic 1
claims 2
classical 1
clear 2
clearly 1
colonies 2
combine 1
come 2
comes 1
coming 1
command 5
commanded 1
commander 1
commit 2
commitments 2
compares 2
comparing 1
compassionate 1
compelled 1
competition 1
completely 1
completing 1
compromises 1
concern 1
concerned 1
concerning 4
conclusion 1
conduct 1
conquer 2
conquered 5
conquering 1
conquest 1
conquests 1
considered 2
consisted 1
conspirators 1
consulted 1
contained 1
contempt 1
content 1
continues 1
continuously 1
contrast 1
control 1
controlled 2
controversial 2
convenience 1
corrupt 1
corruption 1
could 5
counsel 2
counselors 2
courageously 1
course 1
cover 1
cowardly 1
criminal 3
criticism 1
crowns 1
cruel 2
cruelty 3
crush 1
cunning 1
custom 1
cyrus 3
dams 1
danger 2
dangerous 4
darius 1
day 1
de 1
dealing 1
deals 1
debated 1
decides 1
decision 1
declared 1
deeds 4
defect 1
defend 3
defended 1
defense 1
defensive 1
defiance 1
deliberate 1
deliberately 1
democracy 1
depart 1
depend 1
depended 1
dependent 2
depending 1
depends 1
deprived 1
describing 1
despised 2
destroyed 1
destroying 1
devout 1
did 1
different 1
difficult 6
diligent 1
diplomat 1
directly 3
disappoint 1
disarmed 1
discern 1
discernment 1
discontinue 1
discourses 1
discuss 1
discussed 2
discusses 1
discussion 2
discussions 1
disposed 1
disposition 1
dissension 1
dissent 1
dissenters 1
distinction 1
distinctions 1
distinguish 1
distinguishes 1
divided 1
divides 2
do 9
does 9
doing 1
down 3
drastic 1
due 1
during 3
each 1
earn 1
earns 1
easier 2
easily 1
easy 5
economical 1
education 1
effectively 2
effectual 1
effettuale 1
efforts 2
either 2
eliminate 1
elite 1
else 3
elsewhere 1
emerge 1
emperor 1
emphasis 2
emphasizes 1
empire 2
employer 2
encountered 1
encouraged 1
encourages 1
end 2
endure 1
enemies 1
enemy 1
enforce 1
enjoy 1
enough 2
ensure 2
enter 2
equally 1
erect 1
escaped 1
especially 1
essential 1
establish 1
established 1
esteem 1
even 7
events 1
eventually 2
every 2
everybody 1
everyone 2
evil 2
exactly 1
example 11
excellent 1
excessive 2
execute 1
executed 2
execution 1
exemplary 1
exhausted 1
exhortation 1
exist 1
existing 1
expect 1
expectations 1
experience 2
explicitly 2
exposed 1
expressed 1
extended 1
external 2
extraordinary 1
face 1
fact 2
factionalism 1
fail 1
fails 1
faithful 2
fall 2
family 4
famous 1
far 2
father 1
fathers 1
favor 2
fear 6
feared 7
fears 3
feats 2
feel 1
feet 1
ferdinand 1
fewer 1
fierce 1
fiercely 1
figures 1
finally 1
find 3
finds 1
first 4
fit 1
fitting 1
flatterers 3
flattery 2
flooding 1
florence 1
focus 2
followers 2
following 3
follows 2
for 36
force 2
forced 2
forces 4
foreign 2
forget 1
formidable 1
forms 2
fortifications 1
fortify 1
fortresses 3
fortunate 1
fortune 10
found 4
foundations 1
founded 1
france 4
francesco 1
frank 1
free 2
french 1
frequently 2
friend 1
frightened 1
from 15
full 1
further 1
future 1
gain 1
gained 2
gaining 1
garrison 1
generalizes 1
generally 1
generosity 2
generous 3
genre 2
get 1
gilbert 6
give 1
given 2
giver 1
gives 2
glory 1
go 3
god 1
good 9
goodwill 1
govern 1
government 1
great 14
greatest 1
greece 1
greed 1
grief 1
group 1
guarding 1
guicciardini 1
guileless 1
had 10
half 2
hand 4
handle 1
hannibal 2
happily 1
hard 2
has 8
hated 4
hatred 2
have 25
having 5
he 68
heavily 1
help 2
helpless 1
her 3
hereditary 5
hesitate 1
high 1
higher 1
highly 2
him 10
himself 8
his 62
historian 1
historical 2
history 2
hold 5
holding 1
holds 1
honor 1
honoured 1
hostile 2
how 5
however 9
human 1
humane 1
hunt 1
hurts 1
i 1
idea 3
ideal 1
ideally 1
ideas 1
idleness 1
if 24
ignores 1
iii 1
illusion 2
illustrate 1
imagination 1
imitate 1
immediately 1
immoral 1
impact 1
imperative 1
impetuous 1
important 6
importantly 1
impossible 1
imprisoned 1
in 85
includes 1
including 1
increasing 1
indeed 2
indicated 1
indicating 1
indolence 1
indulge 2
inevitably 1
influenced 1
inherited 1
inhuman 1
initial 1
injuries 1
injury 1
innovative 1
innovator 1
inside 1
install 4
instilled 1
intellectual 1
intelligence 3
interfere 1
internal 3
into 6
involve 1
is 91
it 44
italian 3
italians 2
italy 6
its 3
itself 4
itselfwhich 1
judge 2
just 2
justification 2
keep 8
keeping 3
keeps 1
kept 3
killed 2
kind 3
king 5
kingdom 7
kings 1
know 1
knowledge 1
known 1
knows 1
labeled 1
labour 1
landscape 2
large 1
lasting 1
latter 1
laws 2
lazy 1
leader 1
leaders 2
leads 1
learn 3
least 1
leave 2
leo 1
less 4
lesser 1
let 1
levees 1
level 1
lie 1
lies 1
life 1
like 6
limit 1
linked 1
little 1
live 2
lived 1
livy 1
long 3
looked 1
lords 1
lose 2
loser 1
loses 1
lost 1
loved 4
low 1
loyal 2
loyalty 3
luck 4
lucky 1
machiavelli 73
machiavellis 2
made 6
magistrates 1
main 2
maintain 3
maintains 1
make 3
makes 5
making 2
managed 1
maneuvers 1
many 5
mar 1
matter 1
matters 2
maximilian 2
may 4
mean 2
meaning 2
means 2
medici 5
meet 1
meeting 1
member 1
memory 1
men 6
mental 1
mentally 1
mention 1
mentioning 2
mentions 1
mercenaries 1
mercenary 4
merciful 1
mercy 1
met 1
metaphor 1
middle 1
might 2
militarily 1
military 6
mind 2
minimize 1
mirrors 1
miser 2
mistakes 1
mixed 2
mixes 1
modern 1
monarch 2
monarchs 1
monarchy 1
money 1
morale 1
more 13
moreover 1
moses 2
most 10
motivated 1
much 3
mushroom 1
must 10
mutiny 1
name 1
named 1
naturally 2
necessarily 1
necessary 5
need 7
needs 4
negative 1
neutral 1
neutrally 1
never 4
new 19
newly 1
no 7
nobles 1
noncriminal 1
nor 2
normally 1
not 44
noted 2
notes 8
notice 1
noting 1
novelty 1
now 1
numbers 1
