5064574
/m/0d13hf
/m/0d13hf
Patricia Cornwell
2004-09
a 2
ago 1
an 1
analysis 1
and 2
are 2
asked 1
at 1
attack 1
available 1
become 1
been 2
benton 1
but 1
by 1
chief 1
clues 1
companion 1
disarray 1
dr 1
examiner 1
few 1
five 1
for 1
former 1
freelancer 1
girl 1
hampered 1
has 2
having 1
henri 2
her 4
in 1
ineptness 1
investigating 1
investigations 1
is 2
joel 1
kay 1
keeping 1
lab 1
left 1
lucy 1
marcus 2
medical 1
murdered 1
niece 1
of 2
on 1
parallel 1
partner 1
replacement 1
request 1
return 1
richmond 1
safe 1
scarpetta 3
sent 1
stay 1
the 2
to 3
very 1
virginia 1
wesley 1
with 1
years 1
young 1
