16305778
/m/03wgj11
/m/03wgj11
Nikolai Tolstoy

6th 1
a 1
adulthood 1
after 1
also 1
and 5
appearing 1
are 1
arthur 2
as 4
at 1
battle 1
beowulf 1
black 1
book 1
boron 1
british 1
by 1
carmarthen 1
century 1
childhood 1
climaxing 1
conflicts 1
covers 1
cynric 1
de 1
death 1
dineirth 1
elements 1
europe 1
figures 1
from 1
geoffrey 1
gwynedd 1
himself 1
historical 1
in 3
include 1
infancy 1
instead 1
legendary 1
life 2
maelgun 2
malory 1
mentor 1
merlin 3
monmouth 1
novel 3
of 7
other 1
others 1
part 1
popularized 1
retells 1
robert 1
saxon 1
serves 1
set 1
sources 1
taliesin 2
the 5
thomas 1
to 2
used 1
using 1
wales 1
well 1
wessex 1
with 1
