3759894
/m/09zh6m
/m/09zh6m
John Gardner
1971
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0fr3y1": "Parallel novel"}
a 39
ability 1
able 1
about 3
abyss 1
accident 1
accidents 1
accordance 1
act 1
actions 1
adding 1
after 3
again 4
against 1
agitated 1
agree 1
allowing 1
almost 1
along 1
although 1
among 1
amongst 1
an 10
anarchist 1
ancient 1
and 45
anger 1
animal 2
animals 2
another 2
appearance 1
appears 3
approach 1
approaches 1
are 2
area 1
arm 2
armored 1
army 1
arrival 1
arrives 1
as 15
asks 1
asleep 1
assembles 1
assistant 1
at 6
attack 4
attacking 2
attacks 2
attempts 1
attending 1
awakens 1
away 1
back 1
bands 1
barely 1
basis 1
battle 2
be 3
beautiful 1
beauty 1
become 4
becomes 3
been 1
before 3
begging 1
beginning 1
begins 4
belief 1
beowulf 7
between 1
bitter 1
blind 1
blood 1
blows 1
borders 1
breaks 1
briefly 1
bringing 1
brutal 1
bull 2
bursting 1
but 3
by 14
called 1
calls 1
calmly 1
campaign 1
can 1
cannot 2
capturing 1
causing 1
cave 7
caves 1
ceremony 1
chain 1
challenge 1
challenged 1
champion 1
character 2
chastise 1
childhood 1
circle 1
civilizations 1
claiming 1
claims 1
classes 1
clear 1
climb 1
colonization 1
come 2
coming 1
communicate 1
complex 1
comprehend 1
conclude 1
conflicts 1
confounded 1
confusion 1
considers 1
continuation 1
continues 3
control 1
convincing 1
corpse 2
crafts 1
creator 1
creatures 2
cries 1
crying 1
curses 1
cursing 1
dane 1
danes 6
danish 3
day 1
days 3
dead 2
death 5
decides 2
deeds 1
defends 1
deity 1
demanding 1
denial 1
denmark 1
deposition 1
derived 1
despair 1
desperation 1
despised 1
despite 1
destroyed 1
destroyer 1
development 1
develops 1
dies 2
dignity 1
discounts 1
discovers 1
do 2
does 2
doors 1
dragon 9
dragonlike 1
drags 1
dread 1
driving 1
during 2
early 1
eats 1
efforts 1
elaborating 1
enchanted 1
encounters 1
engaged 1
enormous 1
enraged 1
enraptured 2
enraptures 1
enters 1
equally 1
especially 1
esteem 1
evade 1
even 1
events 1
eventually 2
everything 1
exhaustion 1
exhilaration 1
existence 2
exists 1
exiting 1
exits 1
experiences 1
explained 1
explains 2
exploration 1
explores 1
exploring 2
eyes 1
fact 2
factions 1
factual 1
fails 1
